title,user_id,created_at,comments
chore(.clang-tidy): adds bugprone-unchecked-optional-access check,zulfaqar-azmi-t4,2023-10-18T07:34:54Z,[]
Develop avinash,AvinashRamashray,2023-10-10T02:34:30Z,"[{'user_id': 'AvinashRamashray', 'created_at': '2023-10-10T02:34:58Z', 'comment_text': 'test'}]"
Developer avinash,AvinashRamashray,2023-10-07T14:08:15Z,"[{'user_id': 'AvinashRamashray', 'created_at': '2023-10-07T14:08:34Z', 'comment_text': 'just done for testing'}]"
Create testfile.txt,AvinashRamashray,2023-10-07T13:49:16Z,[]
fix: update all downloaded files with their SHA256 checksum (2),esteve,2023-09-26T10:41:56Z,"[{'user_id': 'esteve', 'created_at': '2023-09-26T10:44:00Z', 'comment_text': '@lexavtanke could you review this PR again? I closed #3856 by mistake. Thanks.'}, {'user_id': 'esteve', 'created_at': '2023-09-26T12:41:20Z', 'comment_text': '@xmfcx could you approve this PR? Neither @lexavtanke or I have write permissions for this repository. Thanks.'}]"
fix: update all downloaded files with their SHA256 checksum,esteve,2023-09-22T15:21:13Z,"[{'user_id': 'esteve', 'created_at': '2023-09-22T15:22:17Z', 'comment_text': 'Depends on https://github.com/autowarefoundation/autoware/pull/3848'}]"
feat(ansible): add yabloc archive extraction to andsible script,lexavtanke,2023-09-22T09:36:43Z,"[{'user_id': 'lexavtanke', 'created_at': '2023-09-22T11:50:45Z', 'comment_text': ""@esteve These files don't used during build time only during runtime. Actually I don't know why there are so many files in the archive because only model_float32.pb is used in launch files. I guess @KYabuuchi can explain more clear. ""}, {'user_id': 'KYabuuchi', 'created_at': '2023-09-22T12:05:22Z', 'comment_text': 'YabLoc does not require the models during compilation. The `model_float32.pb` is loaded when performing initial pose estimation after launching Autoware. \r\n\r\nIf the model file is not found, non-DNN methods will be used for initial pose estimation. (This is not accurate, but initial position estimation will complete.)'}, {'user_id': 'esteve', 'created_at': '2023-09-22T14:24:30Z', 'comment_text': '@lexavtanke ah, I see, thanks for the explanation. LGTM'}]"
Eliminate rosdep errors and autoware.universe build error,bgilby59,2023-09-22T07:27:45Z,[]
docs(ansible): add readme with manual artifacts downloading explanation,lexavtanke,2023-09-20T14:07:22Z,"[{'user_id': 'lexavtanke', 'created_at': '2023-09-20T16:17:19Z', 'comment_text': '@esteve Yes, make sense. I will switch it to draft for now and update. '}, {'user_id': 'esteve', 'created_at': '2023-09-22T14:18:55Z', 'comment_text': ""@lexavtanke sorry I wasn't more specific. I meant adding a checksum file like this:\r\n\r\nhttps://help.ubuntu.com/community/HowToSHA256SUM\r\n\r\nso that users can check the files easily by running `sha256sum -c SHA256SUMS`, we might want to sign that file with GPG eventually as well.""}, {'user_id': 'lexavtanke', 'created_at': '2023-09-22T14:57:36Z', 'comment_text': ""@esteve before I had started I also had this Idea because I wasn't sure. But I come to a conclusion that it will work for the first time and if user will update models manually one by one and will keep engines in the folders and run chechsum it can be confusing. After initial run of autoware user will have some additional files like trt engines. \r\nHere is the example for lidar_centerpoint.\r\n![image](https://github.com/autowarefoundation/autoware/assets/37497658/25cd89ed-8b8d-47f4-8c39-bc734cb11fa9)\r\n\r\nDo you think it will be better to push user to update all artifacts simultaneously? If so we will need to add a new playbook to ansible and modify setup-dev-env.sh or provide separate script for updating. \r\n\r\n""}, {'user_id': 'esteve', 'created_at': '2023-09-22T15:09:44Z', 'comment_text': ""@lexavtanke I think it's fine if the models change because the user modifies them, but the first time they are downloaded it'd be useful for the user if they can verify the files easily (with `sha2156` for example). Here's the SHA256SUMS file I generated locally:\r\n\r\n```\r\n7fe62fcebe0e0f62a000d06aa94d779feb444d933671a4a3189fe01be8c19a00  ./image_projection_based_fusion/pts_backbone_neck_head_pointpainting.onnx\r\n3ca452ea5ca9467bf782955f75704ba8466841e275e8b8acd991b9911d53249e  ./image_projection_based_fusion/pts_voxel_encoder_pointpainting.onnx\r\n86348d8c4bced750f54288b01cc471c0d4f1ec9c693466169ef19413731e6ecc  ./lidar_apollo_instance_segmentation/hdl-64.onnx\r\neec521ebad7553d0ea2c90472a293aecb7499ab592632f0e100481c8196eb421  ./lidar_apollo_instance_segmentation/vlp-16.onnx\r\n95ef950bb694bd6de91b7e47f5d191d557e92a7f5e2a6bdf655a8b5eed4075cc  ./lidar_apollo_instance_segmentation/vls-128.onnx\r\n3fe7e128955646740c41a25be0c8f141d5a94594fe79d7405fe2a859e391542e  ./lidar_centerpoint/pts_backbone_neck_head_centerpoint.onnx\r\n9bb0b634f3664bd098ce7d6a3d8a9fb7cc8d9b8252b27f302c71e43316bab551  ./lidar_centerpoint/pts_backbone_neck_head_centerpoint_tiny.onnx\r\ndc1a876580d86ee7a341d543f8ade2ede7f43bd032dc5b44155b1f0175405764  ./lidar_centerpoint/pts_voxel_encoder_centerpoint.onnx\r\n2c53465715c1fd2e9dc5727ef3fca74f4cdf0538f74286b0946e219d0ca5693b  ./lidar_centerpoint/pts_voxel_encoder_centerpoint_tiny.onnx\r\n634a1132eb33f8091d60f2c346ababe8b905ae08387037aed883953b7329af84  ./tensorrt_yolo/coco.names\r\n61e922f76918dd3d8e0abdc5fb7406f390609e08bd8ab9e5d3b97afb00f30f8c  ./tensorrt_yolo/yolov3.onnx\r\n0e877c716fbf8a2b431ee3e57f6c7411a6741319b52c32c6dafc53c7e1b17027  ./tensorrt_yolo/yolov4-tiny.onnx\r\n7c7343156c1bd4b397fd1e44b27334691a6219db3ce2e29a03b72af65ddb8f39  ./tensorrt_yolo/yolov4.onnx\r\na627e5f70180a8746482b572194090466db62c8d1256602c1cd20374dd960e34  ./tensorrt_yolo/yolov5l.onnx\r\nee6f67f7c00a34cc4cef2fdd9db30dd714df1a4fb2d7e9fc1731cfe85b673133  ./tensorrt_yolo/yolov5m.onnx\r\nbe335ff7746957debf1a6903a61fa3f568b780b4afe4958edf2d4bc98e9e0825  ./tensorrt_yolo/yolov5s.onnx\r\nd7cb4cd7078f87bda22a37828d72867accecedf9f74d0d87b5cc1f6f1180a019  ./tensorrt_yolo/yolov5x.onnx\r\n3540a365bfd6d8afb1b5d8df4ec47f82cb984760d3270c9b41dbbb3422d09a0c  ./tensorrt_yolox/label.txt\r\ncc378d327db5616b0b3a4d077bf37100c25a50ecd22d2b542f54098da100f34c  ./tensorrt_yolox/yolox-sPlus-T4-960x960-pseudo-finetune.EntropyV2-calibration.table\r\nf5054e8a890c3be86dc1b4b89a5a36fb2279d4f6110b0159e793be062641bf65  ./tensorrt_yolox/yolox-sPlus-T4-960x960-pseudo-finetune.onnx\r\nb9e9d7da33342262ccaea4469b4d02b8abb32b6d7bf737f9e0883fece1b8f580  ./tensorrt_yolox/yolox-sPlus-opt.EntropyV2-calibration.table\r\n36b0832177b01e6b278e00c7369f1de71e616c36261cbae50f0753d41289da01  ./tensorrt_yolox/yolox-sPlus-opt.onnx\r\n471a665f4243e654dff62578394e508db22ee29fe65d9e389dfc3b0f2dee1255  ./tensorrt_yolox/yolox-tiny.onnx\r\n1a5a49eeec5593963eab8d70f48b8a01bfb07e753e9688eb1510ad26e803579d  ./traffic_light_classifier/lamp_labels.txt\r\n55ebb0d117a5e8943f8d1c6769f1d856b533079d4d871d8e923255cc992ad48a  ./traffic_light_classifier/traffic_light_classifier_efficientNet_b1_batch_1.onnx\r\n684e29843e3128eadb774018730644b3ab9b0a06dc4cdaeed579c2f3fa5d5265  ./traffic_light_classifier/traffic_light_classifier_efficientNet_b1_batch_4.onnx\r\n44d94540fa8b89dfb39cd9a8523cf010ddfb10ea2f1f9b53bf3618ce7f4912ad  ./traffic_light_classifier/traffic_light_classifier_efficientNet_b1_batch_6.onnx\r\n455b71b3b20d3a96aa0e49f32714ba50421f668a2f9b9907c30b1346ac8a3703  ./traffic_light_classifier/traffic_light_classifier_mobilenetv2_batch_1.onnx\r\n41bb79a23a4ac57956adb8e9cb3904420db1b0cd032e97b670cc4f8b174ae3fe  ./traffic_light_classifier/traffic_light_classifier_mobilenetv2_batch_4.onnx\r\ne4792eed6a46fdbd02be2f3a4f1ce91f36fa77698493caf3102e445178c0f058  ./traffic_light_classifier/traffic_light_classifier_mobilenetv2_batch_6.onnx\r\na41e6e3324e32c30b3b2fe38908eaf3471e2bfdaeb9e14ca0c1c3bc0275119c6  ./traffic_light_fine_detector/tlr_labels.txt\r\n922839fcf22bd32ae5065146fcec193e9d6360ca03bd4c83faea835045daf8eb  ./traffic_light_fine_detector/tlr_yolox_s_batch_1.onnx\r\nb3c6e00acc6ff547d165469684ffb620a9a6330e9d591d445f50c4cf5cb4e292  ./traffic_light_fine_detector/tlr_yolox_s_batch_4.onnx\r\n2824d4c5b7ab5f6bfd41e43e82747107c53e1c727b1cf1dd6746bc49e6749128  ./traffic_light_fine_detector/tlr_yolox_s_batch_6.onnx\r\ne29e6ee68751a270fb285fd037713939ca7f61a897b4c3a7ab22b0d6a9a21ddf  ./traffic_light_ssd_fine_detector/mb2-ssd-lite-tlr.onnx\r\na41e6e3324e32c30b3b2fe38908eaf3471e2bfdaeb9e14ca0c1c3bc0275119c6  ./traffic_light_ssd_fine_detector/voc_labels_tl.txt\r\n1f660e15f95074bade32b1f80dbf618e9cee1f0b9f76d3f4671cb9be7f56eb3a  ./yabloc_pose_initializer/resources.tar.gz\r\n```\r\n\r\nI'm going to use it to update the ansible scripts so that all the files have a SHA256 sum (right now, some still a have an MD5 one)""}, {'user_id': 'lexavtanke', 'created_at': '2023-09-25T12:58:26Z', 'comment_text': ""@esteve I've added SHA256SUM to README.""}, {'user_id': 'esteve', 'created_at': '2023-09-26T10:00:26Z', 'comment_text': ""@lexavtanke I see, I meant a separate file, so that users can run `sha256sum -c SHA256SUMS` to check the integrity of the files. If they have to copy and paste the contents of `README`, they won't do it and it's also more difficult to automate.""}]"
fix: add updated artifacts for tensorrt_yolox,esteve,2023-09-19T14:31:25Z,[]
