title,user_id,created_at,comments
"Runtime Manager Quick Start tab, fix launch_kill proc for Rviz",kondoh2,2015-12-28T07:49:43Z,[]
"Runtime Manager Quick Start tab, fix rviz/cmd.sh",kondoh2,2015-12-28T02:05:55Z,[]
Support setting nice value,syohex,2015-12-27T03:25:51Z,"[{'user_id': 'shinpei0208', 'created_at': '2015-12-27T07:03:46Z', 'comment_text': 'Great, thanks!\n2015/12/27 12:36 ""Syohei YOSHIDA"" notifications@github.com:\n\n> Merged #187 https://github.com/CPFL/Autoware/pull/187.\n> \n> —\n> Reply to this email directly or view it on GitHub\n> https://github.com/CPFL/Autoware/pull/187#event-500835586.\n'}]"
"Runtime Manager Quick Start tab, Rviz remote",kondoh2,2015-12-25T08:57:35Z,[]
Improve handling junction lane,syouji,2015-12-25T04:31:42Z,[]
Update AutowareRoute,syouji,2015-12-24T11:25:23Z,[]
Don't use absolute path,syohex,2015-12-24T10:21:34Z,[]
Implement process manager,syohex,2015-12-24T07:27:29Z,"[{'user_id': 'syohex', 'created_at': '2015-12-24T10:17:20Z', 'comment_text': 'NOTE: You need to input password when you execute `ros/run` script.\n\n今後 `ros/run`を実行する際にパスワードを入力する必要があります.\n問題がありましたらお知らせください.\n'}]"
Update ndt matching,kitsukawa,2015-12-24T07:26:59Z,[]
Apply bashrc pull requests,syohex,2015-12-23T06:54:05Z,[]
Develop waypoint loader,h-ohta,2015-12-22T08:21:05Z,[]
Fix waypoint maker,h-ohta,2015-12-22T07:18:35Z,[]
Parse old CSV format,syouji,2015-12-22T05:29:25Z,"[{'user_id': 'syouji', 'created_at': '2015-12-22T05:39:09Z', 'comment_text': '@h-ohta 現状公開している waypoint_loader用の CSVファイルは、yaw角のカラムを含まないため、ロードすると SEGV が発生しておりました。一時的な対応になるかもしれませんが、古いフォーマットも読めるように修正いたしました。\n'}, {'user_id': 'h-ohta', 'created_at': '2015-12-22T07:05:01Z', 'comment_text': '@syouji 動作確認が出来ました。実装もこれで問題ないと思います。お手数おかけして申し訳ありませんでした。ありがとうございました。\n'}]"
Avoid forced termination,TomohitoAndo,2015-12-18T12:47:46Z,[]
Add udon_socket package,syouji,2015-12-18T11:19:42Z,[]
