title,Created_at,thread_id,subtitle_id,Type,Comment_text,Time_to_Close,Time_to_First_Response
Fix camera_ids.,2017-01-13T16:38:54Z,1,1,answered,@kuriking Thank you for fix. I checked this commit.,1762419.0,1693209.0
Hotfix/javad navsat driver,2016-12-22T04:25:03Z,2,,,,,
Defaults for unset CUDA_CAPABILITY_VERSION,2016-12-18T05:50:24Z,3,1,questioned,"@tushar-dadlani 
Thank you for making PR(#536).
As simple fixing is needed for your modification, I decided to merge your suggestion by this PR(#549) which is added fixing.
Thank you very much again for pointing out the problem!",503.0,495.0
Fixed a bug. It caused by reference to out of image size,2016-12-16T11:45:31Z,4,,,,,
Fixed a bug. It caused by reference to out of image size,2016-12-16T11:07:46Z,5,,,,,
ndt_matching using local_transform,2019-03-15T06:35:49Z,6,1,answered,"HI,I wonder what the mean of local_transform is.Could you please simply explain it?
Thx in advance.",7.0,70913394.0
ndt_matching using local_transform,2019-03-18T00:15:15Z,6,2,answered,"Thanks for using Autoware and for your question. However the issue tracker is for posting confirmed bugs and feature requests.

We ask that you please ask questions on the [Autoware Discourse category](https://discourse.ros.org/c/autoware) following our support guidelines: https://github.com/CPFL/Autoware/wiki/Support-guidelines. Please pay particular attention to the information we ask you to provide.",7.0,70913394.0
Add an instruction video of astar_navi,2016-12-14T07:44:11Z,8,,,,,
Add dialog,2016-12-13T10:09:45Z,9,,,,,
Update default.rviz,2016-12-13T09:12:11Z,10,,,,,
Fix .gitignore in each packages,2016-12-09T11:01:10Z,11,1,questioned,@amc-nu @sujiwo Could you check this PR? Thank you.,101725.0,41.0
Fix .gitignore in each packages,2016-12-10T14:56:34Z,11,2,questioned,"@amc-nu Thanks!
@sujiwo How about you?",101725.0,41.0
Fix .gitignore in each packages,2016-12-10T15:02:42Z,11,3,answered,I think they are fine.,101725.0,41.0
Fix .gitignore in each packages,2016-12-10T15:15:51Z,11,4,questioned,@sujiwo  Thank you. I'll merge,101725.0,41.0
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-08T15:36:31Z,15,1,questioned,@manato Could you check this PR? thank you.,168608.0,17.0
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-10T14:26:16Z,15,2,answered,"@h-ohta 
Thank you for fixing!
Sorry for my carelessness...",168608.0,17.0
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-10T14:28:41Z,15,3,answered,"@h-ohta 
I merged `fix-dependency` branch into master.
Please delete the branch if it is no need anymore.",168608.0,17.0
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-10T14:57:15Z,15,4,questioned,@manato Thank you for your cooperation!,168608.0,17.0
Fix cmake error in orb_localizer,2016-12-08T07:13:29Z,19,1,questioned,@sujiwo Could you check this PR?,1637.0,20.0
Update gitignore,2016-12-06T21:16:45Z,20,,,,,
Fix interchanged links,2016-12-07T17:58:33Z,21,1,answered,"Thank you!
",241843.0,241833.0
Defaults for unset CUDA_CAPABILITY_VERSION,2016-12-04T21:25:54Z,22,,,,,
Add Calibration sample data to README.md.,2016-12-04T20:56:25Z,23,,,,,
Add Calibration Toolkit video to README.md.,2016-12-04T11:11:33Z,24,,,,,
Support docker,2016-11-29T14:08:32Z,25,,,,,
"Runtime Manager Computing tab, fix euclidean_cluster default data",2016-11-29T08:28:37Z,26,,,,,
Bug fix for ROS > indigo,2016-11-29T07:22:36Z,27,1,questioned,@kitsukawa please check current fix for ORB-SLAM whether it is compilable,171104.0,38.0
Bug fix for ROS > indigo,2016-11-29T08:03:28Z,27,2,answered,"/home/kitsukawa/orb_slam/ros/src/computing/perception/localization/packages/orb_localizer/Thirdparty/DBoW2/DUtils/Random.cpp:11:27: fatal error: DUtils/Random.h: No such file or directory
 #include ""DUtils/Random.h""
                           ^
compilation terminated.
make[2]: *** [computing/perception/localization/packages/orb_localizer/Thirdparty/DBoW2/CMakeFiles/DBoW2.dir/DUtils/Random.cpp.o] Error 1
make[2]: *** Waiting for unfinished jobs....
",171104.0,38.0
Bug fix for ROS > indigo,2016-11-29T09:26:50Z,27,3,questioned,"At this time, please ensure that the branch `orb_slam' is up-to-date.",171104.0,38.0
Bug fix for ROS > indigo,2016-11-30T06:14:54Z,27,4,answered,Same compile error occurs.,171104.0,38.0
Bug fix for ROS > indigo,2016-11-30T07:37:01Z,27,5,questioned,"I'm using these commands to perform merge, and no errors were encountered:

1) Clone fresh repository:
cd /tmp
git clone https://github.com/CPFL/Autoware.git
cd Autoware

2) Checkout branch orb_slam and back to master:
git checkout orb_slam
git checkout master

3) Merge:
git merge orb_slam

4) Compile:
cd ros
./catkin_make_release

Are these sequences correct? Please advise.",171104.0,38.0
Bug fix for ROS > indigo,2016-11-30T14:14:57Z,27,6,answered,I followed the same commands but I met the same error. Are there any missing packages?,171104.0,38.0
Update AUTHORS,2016-11-26T03:57:35Z,33,,,,,
send transform in global coordinates,2016-11-25T20:00:08Z,34,,,,,
Rewrite astar navi,2016-11-25T11:44:41Z,35,,,,,
add ndt_tku,2016-11-24T18:30:26Z,36,,,,,
"Removing ""UpTo"" points from all the point cloud topics",2016-11-24T06:58:47Z,37,,,,,
add checkbox value of lane_stop parameter to pdic,2016-11-24T03:59:37Z,38,,,,,
Added param to ignore points closer than a threshold,2016-11-24T02:41:34Z,39,,,,,
Update README.md,2016-11-22T11:48:12Z,40,,,,,
Add a video for traffic light recognition,2016-11-22T08:01:36Z,41,,,,,
Update README.md,2016-11-22T07:13:41Z,42,,,,,
Update README.md,2016-11-21T07:07:24Z,43,,,,,
README update RCNN SSD,2016-11-20T11:57:47Z,44,,,,,
