title,Created_at,thread_id,subtitle_id,Type,Comment_text,creator
Update rect_class_score.h,2019-03-18T05:25:16Z,1,1,answered,@LukeAI Can this be updated so CI works and merged?,gbiggs
Update rect_class_score.h,2019-03-18T11:35:55Z,1,2,questioned,@gbiggs I'm not sure what you mean? :),LukeAI
Update rect_class_score.h,2019-03-18T11:42:17Z,1,3,answered,The Travis build fails. We prefer not to merge PRs that fail CI.,gbiggs
Update rect_class_score.h,2019-03-18T11:55:59Z,1,4,questioned,"Ok, I see what you mean - was this building fine before my typo-fix PR?? I just changed a single character inside of a string.",LukeAI
Update rect_class_score.h,2019-03-19T03:52:31Z,1,5,answered,"I assume it wasn't, and looking at the details it appears to be cross compiling stuff that is failing. I'm going to merge this since it's a typo and on top of that I don't think autonomous cars will spend much time recognising ovens.",gbiggs
feature/ndt_matching_disk_full,2018-12-28T07:04:08Z,6,,,,
Cleanup WaypointState.msg and add steering_state=STR_BACK,2018-12-28T03:52:47Z,7,,,,
Make VectorMap::hasSubscribed public,2018-12-28T03:33:57Z,8,,,,
Delete lampValue from sending data in vehicle_sender,2018-12-28T01:41:02Z,9,1,questioned,This should not be changed. I'll revert it in #1609.,kfunaoka
Refactor OpenPlanner code following ROS C++ code style ,2019-01-04T17:32:55Z,10,1,answered,"@hatem-darweesh this looks great, thanks for taking the time to flesh out the code. Did you use `clang-format`? Dave Coleman put up this `clang-format` configuration file that matches the ROS1 C++ code style:

https://github.com/davetcoleman/roscpp_code_format

In addition to that, ROS2 also has a configuration file for `uncrustify` with the ROS2 code style (the ROS1 code style guide will eventually converge with ROS2's):

https://github.com/ament/ament_lint/blob/master/ament_uncrustify/ament_uncrustify/configuration/ament_code_style.cfg

I'm working on integrating ROS2's build system (ament) with Autoware, which will bring automatic code style checking (in addition to other stuff), you can have a look at it at:

https://github.com/esteve/Autoware/tree/feature/use_ament_vector_map

ament supersedes catkin and does not require ROS2, so we can use it with Autoware and ROS1.

Adding automatic code checking and generating a test report is as simple as adding these two lines:

https://github.com/esteve/Autoware/commit/849e1261cd4678de5407085d68cc2b380103e04b#diff-d47e2c80dcb7a36bc8d73ffcb44993bdR57",esteve
Refactor OpenPlanner code following ROS C++ code style ,2019-01-08T17:56:24Z,10,2,questioned,"@esteve Thank you for the information. 
yes, I used clang format. as explained in #1771 

That would be great for new code , what about the existing one? should I stop refactoring OpenPlanner? 
I am looking forward to use ROS2 with Autoware. 

do you recommend to use ROS2 code style from now ? 
what is the difference between using ""ament"" and ""colcon"" as build tools ? 

",hatem-darweesh
