title,user_id,created_at,comments
Fix camera_ids.,kuriking,2016-12-25T02:18:45Z,"[{'user_id': 'yukkysaito', 'created_at': '2017-01-13T16:38:54Z', 'comment_text': '@kuriking Thank you for fix. I checked this commit.'}]"
Hotfix/javad navsat driver,h-ohta,2016-12-22T04:25:03Z,[]
Defaults for unset CUDA_CAPABILITY_VERSION,manato,2016-12-18T05:42:09Z,"[{'user_id': 'manato', 'created_at': '2016-12-18T05:50:24Z', 'comment_text': '@tushar-dadlani \r\nThank you for making PR(#536).\r\nAs simple fixing is needed for your modification, I decided to merge your suggestion by this PR(#549) which is added fixing.\r\nThank you very much again for pointing out the problem!'}]"
Fixed a bug. It caused by reference to out of image size,yukkysaito,2016-12-16T11:45:31Z,[]
Fixed a bug. It caused by reference to out of image size,yukkysaito,2016-12-16T11:07:46Z,[]
ndt_matching using local_transform,kitsukawa,2016-12-14T12:25:55Z,"[{'user_id': 'HongweiSunny', 'created_at': '2019-03-15T06:35:49Z', 'comment_text': 'HI,I wonder what the mean of local_transform is.Could you please simply explain it?\r\nThx in advance.'}, {'user_id': 'gbiggs', 'created_at': '2019-03-18T00:15:15Z', 'comment_text': 'Thanks for using Autoware and for your question. However the issue tracker is for posting confirmed bugs and feature requests.\r\n\r\nWe ask that you please ask questions on the [Autoware Discourse category](https://discourse.ros.org/c/autoware) following our support guidelines: https://github.com/CPFL/Autoware/wiki/Support-guidelines. Please pay particular attention to the information we ask you to provide.'}]"
Add an instruction video of astar_navi,TomohitoAndo,2016-12-14T07:44:11Z,[]
Add dialog,TomohitoAndo,2016-12-13T10:09:45Z,[]
Update default.rviz,TomohitoAndo,2016-12-13T09:12:11Z,[]
Fix .gitignore in each packages,h-ohta,2016-12-09T11:00:29Z,"[{'user_id': 'h-ohta', 'created_at': '2016-12-09T11:01:10Z', 'comment_text': '@amc-nu @sujiwo Could you check this PR? Thank you.'}, {'user_id': 'h-ohta', 'created_at': '2016-12-10T14:56:34Z', 'comment_text': '@amc-nu Thanks!\r\n@sujiwo How about you?'}, {'user_id': 'sujiwo', 'created_at': '2016-12-10T15:02:42Z', 'comment_text': 'I think they are fine.'}, {'user_id': 'h-ohta', 'created_at': '2016-12-10T15:15:51Z', 'comment_text': ""@sujiwo  Thank you. I'll merge""}]"
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",h-ohta,2016-12-08T15:36:14Z,"[{'user_id': 'h-ohta', 'created_at': '2016-12-08T15:36:31Z', 'comment_text': '@manato Could you check this PR? thank you.'}, {'user_id': 'manato', 'created_at': '2016-12-10T14:26:16Z', 'comment_text': '@h-ohta \r\nThank you for fixing!\r\nSorry for my carelessness...'}, {'user_id': 'manato', 'created_at': '2016-12-10T14:28:41Z', 'comment_text': '@h-ohta \r\nI merged `fix-dependency` branch into master.\r\nPlease delete the branch if it is no need anymore.'}, {'user_id': 'h-ohta', 'created_at': '2016-12-10T14:57:15Z', 'comment_text': '@manato Thank you for your cooperation!'}]"
Fix cmake error in orb_localizer,h-ohta,2016-12-08T07:13:09Z,"[{'user_id': 'h-ohta', 'created_at': '2016-12-08T07:13:29Z', 'comment_text': '@sujiwo Could you check this PR?'}]"
Update gitignore,h-ohta,2016-12-06T21:16:45Z,[]
Fix interchanged links,tushar-dadlani,2016-12-04T22:48:00Z,"[{'user_id': 'yukkysaito', 'created_at': '2016-12-07T17:58:33Z', 'comment_text': 'Thank you!\r\n'}]"
Defaults for unset CUDA_CAPABILITY_VERSION,tushar-dadlani,2016-12-04T21:25:54Z,[]
Add Calibration sample data to README.md.,kuriking,2016-12-04T20:56:25Z,[]
Add Calibration Toolkit video to README.md.,kuriking,2016-12-04T11:11:33Z,[]
Support docker,messi49,2016-11-29T14:08:32Z,[]
