year,month,issues_time_to_close_hours
2015,8,1.201111111111111
2015,9,2.0580555555555557
2015,10,75.86194444444445
2015,11,26.781388888888888
2015,12,0.17944444444444443
2016,1,9.693055555555556
2016,2,42.1025
2016,3,0.83
2016,4,24.417638888888888
2016,5,53.988194444444446
2016,6,23.1525
2016,7,856.3430555555556
2016,9,0.3819444444444444
2016,10,353.0627777777778
2016,11,408.78430555555553
2016,12,37.54625
2017,1,256.74625
2017,3,397.85791666666665
2017,4,9.545555555555556
2017,5,26.551944444444445
2017,6,19.07736111111111
2017,7,167.89027777777778
2017,8,859.9266666666666
2017,9,21.034444444444443
2017,10,48.680277777777775
2017,11,60.22958333333333
2017,12,33.123888888888885
2018,1,172.21833333333333
2018,2,11.172083333333333
2018,3,108.29152777777779
2018,4,616.8423611111111
2018,5,111.65666666666667
2018,6,64.36666666666666
2018,7,96.28361111111111
2018,8,257.485
2018,9,284.6386111111111
2018,10,502.9788888888889
2018,11,230.52125
2018,12,528.3761111111111
2019,1,65.37416666666667
2019,2,177.1775
2019,3,484.6220833333333
2019,4,191.20944444444444
2019,5,148.51305555555555
2019,6,18.437916666666666
2021,12,1481.7411111111112
2022,1,652.68125
2022,2,1792.088611111111
2022,3,2016.7680555555555
2022,4,914.8970833333333
2022,5,10.205
2022,6,953.3162500000001
2022,7,71.95861111111111
2022,8,19.772777777777776
2022,9,3.3425
2022,10,2.8041666666666667
2022,11,8.110694444444444
2022,12,169.14055555555555
2023,1,483.7661111111111
2023,2,796.5054166666666
2023,3,103.66222222222223
2023,4,3545.185138888889
2023,5,2167.154722222222
2023,6,384.3540277777778
2023,7,1437.7456944444446
2023,9,90.99861111111112
2023,10,0.9195833333333334
2023,11,496.69666666666666
2023,12,52.29083333333333
