title,Created_at,thread_id,subtitle_id,Type,Comment_text,creator
 integration week 2 (inheritance of # 995),2017-12-27T09:45:28Z,1,1,answered,Thx. I will then fix comments from autowarefoundation/autoware#995 myself.,dejanpan
 integration week 2 (inheritance of # 995),2018-01-10T14:47:44Z,1,2,answered,"@dejanpan I added 2 commits that velocity_set has multiple configurations for stopping before obstacles and at stopline.
Each of the two parameters was split into two.
`OtherDistance -> StopDistance for Obstacle/Stopline`
`Deceleration -> Deceleration for Obstacle/Stopline`

![screenshot from 2018-01-10 23-38-21](https://user-images.githubusercontent.com/1531482/34777999-5c303220-f65f-11e7-9958-0d638ccbbef2.png)

| stop by stopline (BLUE fence) | stop by obstacle (RED fence) |
|-----------------------|-----------------------|
| ![screenshot from 2018-01-10 23-16-21](https://user-images.githubusercontent.com/1531482/34777840-ecb31ac0-f65e-11e7-81d7-6295e1c0a6bf.png) | ![screenshot from 2018-01-10 23-22-42](https://user-images.githubusercontent.com/1531482/34777848-f313f04c-f65e-11e7-8535-8e5ec7e53dbf.png) |


",aohsato
 integration week 2 (inheritance of # 995),2018-01-11T01:42:52Z,1,3,questioned,"@aohsato Could you enlarge the app dialog vertically?
Please refer to the following:
https://github.com/CPFL/Autoware/blob/master/ros/src/util/packages/runtime_manager/scripts/computing.yaml#L644-L646",yk-fujii
 integration week 2 (inheritance of # 995),2018-01-11T04:54:42Z,1,4,answered,"@yk-fujii Done. Btw, do you want to fix all app tab after this?
![screenshot from 2018-01-11 13-51-55](https://user-images.githubusercontent.com/1531482/34809190-ccf3bef6-f6d6-11e7-9c5e-c128bfb72c78.png)

",aohsato
 integration week 2 (inheritance of # 995),2018-01-14T08:11:44Z,1,5,answered,@aohsato can you please tell me how are the steps to test above feature?,dejanpan
 integration week 2 (inheritance of # 995),2018-01-15T06:03:09Z,1,6,answered,@yk-fujii I see that you enabled Travis CI. I would really suggest to wait couple of more days till Sumanth is done with https://github.com/CPFL/Autoware/issues/766. The problem is that your package.xml and CMakeLists.txt are all messed up.,dejanpan
 integration week 2 (inheritance of # 995),2018-01-15T06:03:34Z,1,7,answered,"I will merge this PR since it goes into another, non-release branch.",dejanpan
 integration week 2 (inheritance of # 995),2018-01-15T06:37:31Z,1,8,questioned,"@dejanpan 
okay,
@yn-mrse is in charge of CI (in tieriv) and I turned it on his request. Turn off it.
I do not grasp much. sorry, I'll tell him.",yk-fujii
 integration week 2 (inheritance of # 995),2018-01-15T13:13:24Z,1,9,answered,"@dejanpan For testing my modification of velocity_set, please execute under rosbag simulation.
The positions of detected obstacles on waypoints are described as RED fence, and you can modify `Stop Distance/Deceleration for Obstacle` parameters for speed planning.
About stop line, too. That's described as BLUE fence, and there are `Stop Distance/Deceleration for Stopline` parameters.",aohsato
"- Add modularized OpenPlanner to autoware , 2nd PR",2018-01-04T18:41:42Z,10,1,questioned,"@dejanpan Thank you very much. 
you really read every line , that is so impressive! 
I will check for the pram backward compatibility and push the changes. 
Thanks again. ",hatem-darweesh
"- Add modularized OpenPlanner to autoware , 2nd PR",2018-02-06T08:38:09Z,10,2,questioned,"Dear @dejanpan @aohsato , 
I did fix the critical issues, most of the noncritical issue, ignored issues that need redesign. 
kindly check to merge this to develop. 
Regards, ",hatem-darweesh
Fix crash on NDT mapping gpu,2017-12-27T08:39:49Z,12,1,answered,"@anhnv3991 
The error still happens on my PC.
Ubuntu 14.04 + ROS Indigo
GeForce GTX TITAN Black
CUDA 8.0
```
['roslaunch', 'ndt_localizer', 'ndt_mapping.launch', 'use_imu:=False', 'imu_topic:=/imu_raw', 'use_odom:=False', 'imu_upside_down:=False', 'use_openmp:=False', 'use_fast_pcl:=False', 'use_gpu:=True']
pid=5373
sched policy=OTHER prio=0
... logging to /home/kitsukawa/.ros/log/19150b26-eae0-11e7-a35a-d0509946b845/roslaunch-lab-5373.log
Checking log directory for disk usage. This may take awhile.
Press Ctrl-C to interrupt
Done checking log file disk usage. Usage is <1GB.

started roslaunch server http://lab:45588/

SUMMARY
========

PARAMETERS
* /ndt_mapping/imu_topic: /imu_raw
* /ndt_mapping/imu_upside_down: False
* /ndt_mapping/use_fast_pcl: False
* /ndt_mapping/use_gpu: True
* /ndt_mapping/use_imu: False
* /ndt_mapping/use_odom: False
* /ndt_mapping/use_openmp: False
* /rosdistro: indigo
* /rosversion: 1.11.21

NODES
/
ndt_mapping (ndt_localizer/ndt_mapping)
queue_counter (ndt_localizer/queue_counter)

ROS_MASTER_URI=http://localhost:11311

core service [/rosout] found
use_imu: 0
use_gpu: 1
use_openmp: 0
use_fast_pcl: 0
imu_upside_down: 0
use_odom: 0
imu_topic: /imu_raw
(tf_x,tf_y,tf_z,tf_roll,tf_pitch,tf_yaw): (1.4, 0, 1.415, 0, 0, 0)
param_callback
ndt_res: 1
step_size: 0.1
trans_epsilon: 0.01
max_iter: 100
voxel_leaf_size: 1
min_scan_range: 5
min_add_scan_shift: 1
['rosparam', 'set', '/use_sim_time', 'true']
['rosbag', 'play', '--clock', '/media/kitsukawa/ssd/academy/log/drive/moriyama/20150324.bag']
pid=5525
sched policy=OTHER prio=0
Error: too many resources requested for launch /home/kitsukawa/Autoware/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/NormalDistributionsTransform.cu 780
Error: invalid device pointer /home/kitsukawa/Autoware/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/MatrixDevice.cu 21
[ndt_mapping-2] process has died [pid 5416, exit code 1, cmd /home/kitsukawa/Autoware/ros/devel/lib/ndt_localizer/ndt_mapping __name:=ndt_mapping __log:=/home/kitsukawa/.ros/log/19150b26-eae0-11e7-a35a-d0509946b845/ndt_mapping-2.log].
log file: /home/kitsukawa/.ros/log/19150b26-eae0-11e7-a35a-d0509946b845/ndt_mapping-2*.log
```",kitsukawa
Fix crash on NDT mapping gpu,2017-12-27T08:42:04Z,12,2,answered,@YamatoAndo Can you check the operation on Ubuntu 16.04?,kitsukawa
Fix crash on NDT mapping gpu,2017-12-27T08:47:33Z,12,3,answered,"@kitsukawa 
I tested on Ubuntu 16.04. 
it work longer than before, 
but when I made a map for 200 sec, the program ended with out of memory.

I did it with the same rosbag (moriyama/20150324.bag).
",YamatoAndo
Fix crash on NDT mapping gpu,2017-12-27T08:54:33Z,12,4,answered,"@anhnv3991 This program still falls on the way, but it is much faster than PCL's original.
Good Job!",YamatoAndo
Fix crash on NDT mapping gpu,2017-12-27T14:38:48Z,12,5,questioned,"@kitsukawa your error is different from the one reported in autowarefoundation/autoware_ai#1082, which relates to illegal memory access on the GPU memory. I guess the reason of your error is the kernel at line 780 of the NormalDistributionsTransform.cu requires too many registers per block for launching. Actually I 've never had that error on my pc before, but I'm gonna fix it soon.

@YamatoAndo can you tell me how many points are there on the loaded map when the program failed?",anhnv3991
Fix crash on NDT mapping gpu,2017-12-28T03:43:09Z,12,6,answered,"@anhnv3991 The last message of ndt_mapping is as below :
```
-----------------------------------------------------------------
Sequence number: 87147
Number of scan points: 35510 points.
Number of filtered scan points: 2135 points.
transformed_scan_ptr: 35510 points.
map: 19837423 points.
NDT has converged: 1
Fitness score: 13.0525
Number of iteration: 0
(x,y,z,roll,pitch,yaw):
(134.534, -171.704, -5.41864, -0.02511, -0.00109023, -0.22433)
Transformation Matrix:
0.974943    0.22241 0.00452263    135.713
-0.222453    0.97463  0.0247207   -171.922
0.00109023 -0.0251073   0.999684   -3.41797
0          0          0          1
shift: 1.69948
-----------------------------------------------------------------
Error: out of memory /home/yamato_ando/Autoware_fix_ndt_mapping_crash_gpu/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/SymmetricEigenSolver.cu 10
Error: invalid device pointer /home/yamato_ando/Autoware_fix_ndt_mapping_crash_gpu/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/MatrixDevice.cu 21
(Processed/Input): (1954 / 2244)
[ndt_mapping-2] process has died [pid 20950, exit code 1, cmd /home/yamato_ando/Autoware_fix_ndt_mapping_crash_gpu/ros/devel/lib/ndt_localizer/ndt_mapping __name:=ndt_mapping __log:=/home/yamato_ando/.ros/log/380a88be-e930-11e7-a196-309c230ebc74/ndt_mapping-2.log].
log file: /home/yamato_ando/.ros/log/380a88be-e930-11e7-a196-309c230ebc74/ndt_mapping-2*.log

```

So, 19837423 points.",YamatoAndo
Fix crash on NDT mapping gpu,2017-12-28T10:00:25Z,12,7,questioned,"@YamatoAndo I see. So your GPU cannot handle around 20 million points.
I am working on a solution for that out of memory problem. By dividing the input point cloud into smaller chunks (around 2 millions points per each) and process them one by one, the out of memory problem can be avoided. However, I am not sure about the accuracy of this implementation method. Though when I ran it on my pc, the output map looks the same as when using CPU, I still need more tests.",anhnv3991
Fix crash on NDT mapping gpu,2017-12-28T10:16:17Z,12,8,answered,@anhnv3991 Sounds good. I am looking forward to your improvement.,YamatoAndo
Fix crash on NDT mapping gpu,2017-12-29T07:18:34Z,12,9,answered,Great!  i will test later,YamatoAndo
Fix crash on NDT mapping gpu,2018-01-05T12:15:59Z,12,10,answered,"yes. mapping takes too much memory, and can we use 'generator' and write data to tmp files on disk to save memory? ",asimay
Fix crash on NDT mapping gpu,2018-01-06T14:28:50Z,12,11,questioned,@asimay actually another function called approximate ndt mapping has already solved that problem. It loads a portion of the current map to the main memory instead of all the map. So it consumes less memory than this ndt mapping.,anhnv3991
Fix crash on NDT mapping gpu,2018-01-08T06:31:24Z,12,12,answered,"@anhnv3991 ，hi, dear, yes, I test now.  quite faster than NDT_mapping, but still have many problems .
example:
1.  the topic messages seems always jump back to re-counter again. it seems the messages is lost when handling mapping.

![image](https://user-images.githubusercontent.com/8703449/34660759-d5ff4dfc-f47f-11e7-9ba1-51b69e675865.png)

2. the handling speed is still very slow for tolerance though it is faster than NDT_mapping.  and the cpu resources are not good used when handling, some core is 100%, some core is 0%, even start openMP.

![image](https://user-images.githubusercontent.com/8703449/34661029-bed77526-f481-11e7-8881-1c0769aa441e.png)

3. during handling process, the map data will lost suddenly and disappear,  and re-produce the map from scratch. this step I tried many times, and almost in every loop will lost data, I think it's easy to re-produce the issue.


I think it needs to spend time and spirit to optimize.
  
  ",asimay
Fix crash on NDT mapping gpu,2018-01-08T06:47:24Z,12,13,answered,"![image](https://user-images.githubusercontent.com/8703449/34661163-c245552e-f482-11e7-91d9-a80fdbb5c37c.png)

and much warning info in the command window. this warning is same as ndt_mapping.",asimay
Fix crash on NDT mapping gpu,2018-01-08T11:31:13Z,12,14,answered,"@asimay 

> during handling process, the map data will lost suddenly and disappear, and re-produce the map from scratch. this step I tried many times, and almost in every loop will lost data, I think it's easy to re-produce the issue.

approximate_ndt_mapping node outputs PCDs in /home/.ros/ directory every certain distance. So the data is not lost.",kitsukawa
Fix crash on NDT mapping gpu,2018-01-08T11:56:26Z,12,15,answered,"@kitsukawa , hi, dear, yes, I checked the directory, and find the files.
Thanks!
so the disappearance is normal case, right? is it cleaning and releasing the old memory?",asimay
Fix crash on NDT mapping gpu,2018-01-08T12:02:50Z,12,16,answered,@asimay The disappearance is normal. It is releasing the old memory.,kitsukawa
Fix crash on NDT mapping gpu,2018-02-22T03:46:42Z,12,17,answered,"hi,
I am getting the same error. I install the develop branch. there is no option of use gpu and fast_PCL.
how to make changes in master to fix this error?
`Sequence number: 89549
Number of scan points: 35790 points.
Number of filtered scan points: 2658 points.
transformed_scan_ptr: 35790 points.
map: 15349497 points.
NDT has converged: 1
Fitness score: 151.315
Number of iteration: 0
(x,y,z,roll,pitch,yaw):
(569.592, -28.5685, 21.9983, 0.000545676, -0.115118, -0.0377277)
Transformation Matrix:
0.992674   0.0376561   -0.114803     570.554
-0.0374691    0.999291  0.00378725    -28.6059
0.114864 0.000542064    0.993381     24.1229
0           0           0           1
shift: 0.837143
-----------------------------------------------------------------
Error: an illegal memory access was encountered /home/xxxx/Autoware-master/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/NormalDistributionsTransform.cu 929
(Processed/Input): (1096 / 1519)
Error: all CUDA-capable devices are busy or unavailable /home/xxxx/Autoware-master/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/MatrixDevice.cu 21
[ndt_mapping_omp-2] process has died [pid 35421, exit code 1, cmd /home/xxxx/Autoware-master/ros/devel/lib/ndt_localizer/ndt_mapping_omp __name:=ndt_mapping_omp __log:=/home/xxxxx/.ros/log/9c9d66fe-1787-11e8-897d-7085c25362be/ndt_mapping_omp-2.log].
log file: /home/xxxxx/.ros/log/9c9d66fe-1787-11e8-897d-7085c25362be/ndt_mapping_omp-2*.log
`",munirfarzeen
add new param to change the scan number in tf_mapping.launch,2017-12-25T13:23:06Z,29,,,,kitsukawa
Avoid returning zero by ros time now,2018-01-15T05:43:09Z,30,1,answered,"@TomohitoAndo 
Why does not it work if it is zero?
It seems to work if timeout val is not zero.",yk-fujii
