title,Created_at,thread_id,subtitle_id,Type,Comment_text,creator
Fix README.md image,2019-06-24T14:20:12Z,1,,,,
"Removed the ""function"" key-words",2019-06-16T23:51:19Z,2,1,answered,"Please make this an MR against the new repository location.

https://gitlab.com/autowarefoundation/autoware.ai/autoware/",gbiggs
"Removed the ""function"" key-words",2019-06-18T23:54:05Z,2,2,questioned,"ok I will do it, but this repository will not be updated? @gbiggs ",italojs
"Removed the ""function"" key-words",2019-06-19T00:01:41Z,2,3,answered,This repository will be made an automatic mirror of the GitLab repository soon.,gbiggs
lane_select: parameterize minimum_dt,2019-06-06T22:54:29Z,5,1,answered,Please make this as an MR against the [GitLab repository](https://gitlab.com/autowarefoundation/autoware.ai/). Please make it against the correct repository for the affected package. This repository will soon be reduced to just a mirror.,gbiggs
Feature/costmap generator improve runtimemanager ui,2019-06-06T22:53:28Z,6,1,answered,Please make this as an MR against the [GitLab repository](https://gitlab.com/autowarefoundation/autoware.ai/). Please make it against the correct repository for the affected package. This repository will soon be reduced to just a mirror.,gbiggs
Fix Autoware Docker Builds - Add Melodic Builds,2019-06-04T23:59:25Z,7,1,answered,@JWhitleyAStuff Can I get you to make this as an MR on the [GitLab repository](https://gitlab.com/autowarefoundation/autoware.ai/autoware/) instead? I'm trying to finalise the transition over the next couple of weeks and so need to have minimal activity at GitHub. Sorry for the inconvenience.,gbiggs
Fix Autoware Docker Builds - Add Melodic Builds,2019-06-05T14:52:07Z,7,2,questioned,"Thanks, @gbiggs. Moved to https://gitlab.com/autowarefoundation/autoware.ai/autoware/merge_requests/2",JWhitleyWork
Re-updating citysim ref.,2019-05-31T02:38:31Z,9,,,,
Melodic fixes,2019-05-31T00:32:13Z,10,,,,
melodic master conflicts solved,2019-05-30T16:02:35Z,11,,,,
Fix new conflicts master/melodic,2019-05-30T15:46:38Z,12,,,,
Melodic branch catch up with master,2019-05-30T10:19:03Z,13,,,,
Remove deleted packages from quickstart,2019-05-29T10:04:43Z,14,,,,
