consumer,contributor,consumption,contributor_affiliation,consumer_affiliation
mitsudome-r,maxime-clem,1,tier4,tier4
mitsudome-r,xczhanjun,1,baidu usa,tier4
mitsudome-r,xmfcx,7,leodrive,tier4
mitsudome-r,meliketanrikulu,1,leodrive,tier4
mitsudome-r,kminoda,1,tier4,tier4
mitsudome-r,armaganarsln,1,wg-leads,tier4
mitsudome-r,Sharrrrk,3,autocore,tier4
mitsudome-r,Sharrrrk,3,maintainers,tier4
mitsudome-r,brkay54,1,leodrive,tier4
mitsudome-r,kenji-miyake,3,tier4,tier4
mitsudome-r,sglee-morai,1,MORAI,tier4
mitsudome-r,samehmohamed88,1,Motional,tier4
mitsudome-r,YamatoAndo,1,tier4,tier4
mitsudome-r,Hyeongseok-Jeon,1,wg-leads,tier4
mitsudome-r,yukkysaito,1,tier4,tier4
mitsudome-r,LiangHuangBC,1,,tier4
mitsudome-r,TakaHoribe,2,tier4,tier4
mitsudome-r,alexandrx,1,nagoya,tier4
mitsudome-r,hueirutseng,2,itri,tier4
mitsudome-r,YoshinoriTsutake,1,tier4,tier4
mitsudome-r,ahuazuipiaoliang,1,pixmoving,tier4
maxime-clem,mitsudome-r,1,tier4,tier4
maxime-clem,xmfcx,2,leodrive,tier4
maxime-clem,WJaworskiRobotec,1,wg-leads,tier4
maxime-clem,WJaworskiRobotec,1,robotec,tier4
maxime-clem,brkay54,3,leodrive,tier4
maxime-clem,angry-crab,1,tier4,tier4
maxime-clem,doganulus,1,Boğaziçi University @bouncmpe,tier4
maxime-clem,HuaweiAlgolux,1,Huawei,tier4
maxime-clem,tleyden,1,Indie Hacker (formerly Databricks),tier4
maxime-clem,yukkysaito,1,tier4,tier4
maxime-clem,satoshi-ota,1,tier4,tier4
maxime-clem,ahmeddesokyebrahim,1,leodrive,tier4
maxime-clem,TakaHoribe,3,tier4,tier4
maxime-clem,taikitanaka3,1,tier4,tier4
maxime-clem,JWhitleyWork,1,,tier4
maxime-clem,boyali,1,tier4,tier4
maxime-clem,zulfaqar-azmi-t4,2,tier4,tier4
xczhanjun,mitsudome-r,1,tier4,baidu usa
xczhanjun,kenji-miyake,1,tier4,baidu usa
isamu-takagi,mitsudome-r,1,tier4,tier4
isamu-takagi,maxime-clem,1,tier4,tier4
isamu-takagi,xmfcx,5,leodrive,tier4
isamu-takagi,kenji-miyake,3,tier4,tier4
isamu-takagi,angry-crab,1,tier4,tier4
isamu-takagi,evshary,2,adlink,tier4
isamu-takagi,yukkysaito,1,tier4,tier4
isamu-takagi,taikitanaka3,1,tier4,tier4
BonoloAWF,mitsudome-r,11,tier4,awf
BonoloAWF,maxime-clem,3,tier4,awf
BonoloAWF,xmfcx,14,leodrive,awf
BonoloAWF,ambroise-arm,1,arm,awf
BonoloAWF,esteve,1,tier4,awf
BonoloAWF,armaganarsln,2,wg-leads,awf
BonoloAWF,Sharrrrk,1,autocore,awf
BonoloAWF,Sharrrrk,1,maintainers,awf
BonoloAWF,kenji-miyake,2,tier4,awf
BonoloAWF,angry-crab,1,tier4,awf
BonoloAWF,hatem-darweesh,1,Nagoya University,awf
BonoloAWF,mehmetdogru,1,leodrive,awf
BonoloAWF,Zeysthingz,2,leodrive,awf
BonoloAWF,hueirutseng,9,itri,awf
BonoloAWF,phkarle,2,tum,awf
BonoloAWF,MertClk,9,leodrive,awf
BonoloAWF,liuXinGangChina,3,autocore,awf
BonoloAWF,guankou,1,,awf
BonoloAWF,samet-kutuk,1,wg-leads,awf
Igata-ctrl,mitsudome-r,1,tier4,tier4
Igata-ctrl,mitsudome-r,1,tier4,wg-leads
Igata-ctrl,fengziHK,1,,tier4
Igata-ctrl,fengziHK,1,,wg-leads
xmfcx,mitsudome-r,9,tier4,leodrive
xmfcx,maxime-clem,1,tier4,leodrive
xmfcx,isamu-takagi,5,tier4,leodrive
xmfcx,ambroise-arm,2,arm,leodrive
xmfcx,esteve,2,tier4,leodrive
xmfcx,armaganarsln,1,wg-leads,leodrive
xmfcx,takayuki5168,1,tier4,leodrive
xmfcx,brkay54,1,leodrive,leodrive
xmfcx,kenji-miyake,5,tier4,leodrive
xmfcx,VRichardJP,3,macnica,leodrive
xmfcx,takam5f2,1,tier4,leodrive
xmfcx,mehmetdogru,3,leodrive,leodrive
xmfcx,doganulus,1,Boğaziçi University @bouncmpe,leodrive
xmfcx,kaspermeck-arm,2,wg-leads,leodrive
xmfcx,kaspermeck-arm,2,arm,leodrive
xmfcx,ralwing,2,Autonomous Systems,leodrive
xmfcx,yukkysaito,6,tier4,leodrive
xmfcx,cyn-liu,1,autocore,leodrive
xmfcx,kaancolak,1,leodrive,leodrive
xmfcx,ahmeddesokyebrahim,1,leodrive,leodrive
xmfcx,TakaHoribe,2,tier4,leodrive
xmfcx,chishengshih,1,wg-leads,leodrive
xmfcx,Autostone-c,1,,leodrive
xmfcx,oguzkaganozt,1,wg-leads,leodrive
xmfcx,oguzkaganozt,1,leodrive,leodrive
xmfcx,JWhitleyWork,1,,leodrive
xmfcx,piotr-zyskowski-rai,2,robotec,leodrive
xmfcx,aohsato,1,tier4,leodrive
xmfcx,miursh,2,tier4,leodrive
xmfcx,liuXinGangChina,2,autocore,leodrive
xmfcx,Tom-Li-Lee,1,autocore,leodrive
xmfcx,sezan92,1,LegalOn Technologies,leodrive
xmfcx,idorobotics,1,awf,leodrive
LLplane,kenji-miyake,1,tier4,
LLplane,kosuke55,1,tier4,
h-ohta,kenji-miyake,1,tier4,tier4
meliketanrikulu,mitsudome-r,4,tier4,leodrive
meliketanrikulu,xmfcx,2,leodrive,leodrive
meliketanrikulu,kminoda,3,tier4,leodrive
meliketanrikulu,kenji-miyake,2,tier4,leodrive
meliketanrikulu,YamatoAndo,4,tier4,leodrive
meliketanrikulu,rsasaki0109,1,map4,leodrive
meliketanrikulu,yukkysaito,1,tier4,leodrive
meliketanrikulu,TakaHoribe,1,tier4,leodrive
jason914,mitsudome-r,2,tier4,itri
jason914,esteve,1,tier4,itri
jason914,Sharrrrk,1,autocore,itri
jason914,Sharrrrk,1,maintainers,itri
jason914,kenji-miyake,2,tier4,itri
jason914,raminterpl,1,interplai.ai,itri
jason914,evshary,1,adlink,itri
jason914,kaancolak,1,leodrive,itri
jason914,major2012ye,1,,itri
jason914,liuXinGangChina,1,autocore,itri
WJaworskiRobotec,Igata-ctrl,1,tier4,wg-leads
WJaworskiRobotec,Igata-ctrl,1,tier4,robotec
WJaworskiRobotec,Igata-ctrl,1,wg-leads,wg-leads
WJaworskiRobotec,Igata-ctrl,1,wg-leads,robotec
WJaworskiRobotec,brkay54,1,leodrive,wg-leads
WJaworskiRobotec,brkay54,1,leodrive,robotec
WJaworskiRobotec,sglee-morai,1,MORAI,wg-leads
WJaworskiRobotec,sglee-morai,1,MORAI,robotec
WJaworskiRobotec,doganulus,1,Boğaziçi University @bouncmpe,wg-leads
WJaworskiRobotec,doganulus,1,Boğaziçi University @bouncmpe,robotec
WJaworskiRobotec,ralwing,1,Autonomous Systems,wg-leads
WJaworskiRobotec,ralwing,1,Autonomous Systems,robotec
WJaworskiRobotec,Hyeongseok-Jeon,1,wg-leads,wg-leads
WJaworskiRobotec,Hyeongseok-Jeon,1,wg-leads,robotec
JokerWhy233,kenji-miyake,1,tier4,
JokerWhy233,TakaHoribe,1,tier4,
ambroise-arm,xmfcx,2,leodrive,arm
ambroise-arm,esteve,1,tier4,arm
ambroise-arm,kenji-miyake,1,tier4,arm
ambroise-arm,JWhitleyWork,1,,arm
ambroise-arm,LucaFos,1,arm,arm
HaoruXue,mitsudome-r,1,tier4,awf
HaoruXue,xmfcx,1,leodrive,awf
HaoruXue,shmpwk,1,tier4,awf
HaoruXue,kenji-miyake,1,tier4,awf
HaoruXue,angry-crab,1,tier4,awf
shmpwk,mitsudome-r,2,tier4,tier4
shmpwk,maxime-clem,2,tier4,tier4
shmpwk,kminoda,1,tier4,tier4
shmpwk,takayuki5168,1,tier4,tier4
shmpwk,kenji-miyake,3,tier4,tier4
shmpwk,angry-crab,1,tier4,tier4
shmpwk,yukkysaito,1,tier4,tier4
shmpwk,TZECHIN6,1,,tier4
shmpwk,drwnz,1,tier4,tier4
shmpwk,YoshinoriTsutake,1,tier4,tier4
shmpwk,emi0116,1,,tier4
PengfeiLin0609,kenji-miyake,1,tier4,Tsukada Lab
soblin,g-ise,2,tier4,tier4
soblin,shmpwk,2,tier4,tier4
soblin,Sharrrrk,1,autocore,tier4
soblin,Sharrrrk,1,maintainers,tier4
soblin,takayuki5168,3,tier4,tier4
soblin,TakaHoribe,3,tier4,tier4
soblin,taikitanaka3,1,tier4,tier4
soblin,HiroIshida,1,"PhD student, JSK lab, U. of Tokyo",tier4
sevocrear,aohsato,1,tier4,Innopolis University�
sevocrear,yabuta,1,tier4,Innopolis University�
IshitaTakeshi,maxime-clem,1,tier4,tier4
IshitaTakeshi,kminoda,2,tier4,tier4
IshitaTakeshi,kenji-miyake,6,tier4,tier4
IshitaTakeshi,YamatoAndo,1,tier4,tier4
IshitaTakeshi,yukkysaito,1,tier4,tier4
esteve,mitsudome-r,1,tier4,tier4
esteve,xmfcx,1,leodrive,tier4
esteve,kaspermeck-arm,1,wg-leads,tier4
esteve,kaspermeck-arm,1,arm,tier4
