consumer,contributor,consumption,contributor_affiliation,consumer_affiliation
kondoh2,syohex,1,Computing Platforms Federated Labratory,Computing Platforms Federated Labratory
kondoh2,syouji,1,Computing Platforms Federated Labratory,Computing Platforms Federated Labratory
kondoh2,yk-fujii,1,tier4,Computing Platforms Federated Labratory
kondoh2,shinpei0208,1,tier4,Computing Platforms Federated Labratory
syohex,syouji,1,Computing Platforms Federated Labratory,Computing Platforms Federated Labratory
syohex,kitsukawa,1,map4,Computing Platforms Federated Labratory
syohex,h-ohta,1,tier4,Computing Platforms Federated Labratory
syohex,TomohitoAndo,1,tier4,Computing Platforms Federated Labratory
syohex,manato,1,tier4,Computing Platforms Federated Labratory
syohex,amc-nu,1,map4,Computing Platforms Federated Labratory
syohex,kuriking,1,Aisan Tech,Computing Platforms Federated Labratory
syohex,yukkysaito,1,tier4,Computing Platforms Federated Labratory
syohex,pdsljp,1,,Computing Platforms Federated Labratory
syohex,shinpei0208,1,tier4,Computing Platforms Federated Labratory
syohex,beetleskin,1,,Computing Platforms Federated Labratory
syohex,badguy07,1,,Computing Platforms Federated Labratory
syouji,h-ohta,1,tier4,Computing Platforms Federated Labratory
kitsukawa,syohex,1,Computing Platforms Federated Labratory,map4
kitsukawa,amc-nu,1,map4,map4
kitsukawa,dejanpan,1,apexai,map4
kitsukawa,asimay,1,@xiaopeng,map4
kitsukawa,aohsato,1,tier4,map4
kitsukawa,daifuku07,1,PlatIV,map4
kitsukawa,shinpei0208,1,tier4,map4
kitsukawa,gbiggs,1,OSRF,map4
kitsukawa,HongweiSunny,1,NIO AutonomousDriving,map4
kitsukawa,DeniseJames,1,Self Employed,map4
kitsukawa,weisongwen,1,"Hong Kong Polytechnic University/University of California, Berkeley",map4
h-ohta,syohex,1,Computing Platforms Federated Labratory,tier4
h-ohta,syouji,1,Computing Platforms Federated Labratory,tier4
h-ohta,manato,1,tier4,tier4
h-ohta,kuriking,1,Aisan Tech,tier4
h-ohta,sujiwo,1,Nagoya University,tier4
h-ohta,kenji-miyake,1,tier4,tier4
TomohitoAndo,syohex,1,Computing Platforms Federated Labratory,tier4
TomohitoAndo,amc-nu,1,map4,tier4
TomohitoAndo,yk-fujii,1,tier4,tier4
TomohitoAndo,YamatoAndo,1,tier4,tier4
TomohitoAndo,dejanpan,1,apexai,tier4
TomohitoAndo,shinpei0208,1,tier4,tier4
TomohitoAndo,gbiggs,1,OSRF,tier4
manato,syohex,1,Computing Platforms Federated Labratory,tier4
manato,kitsukawa,1,map4,tier4
manato,amc-nu,1,map4,tier4
manato,yk-fujii,1,tier4,tier4
manato,shinpei0208,1,tier4,tier4
ghost,syohex,1,Computing Platforms Federated Labratory,
ghost,amc-nu,1,map4,
ghost,yukkysaito,1,tier4,
ghost,YamatoAndo,1,tier4,
ghost,aohsato,1,tier4,
ghost,eratostennis,1,tier4,
ghost,gbiggs,1,OSRF,
amc-nu,syohex,1,Computing Platforms Federated Labratory,map4
amc-nu,kitsukawa,1,map4,map4
amc-nu,manato,1,tier4,map4
amc-nu,yk-fujii,1,tier4,map4
amc-nu,dejanpan,1,apexai,map4
amc-nu,alexandrx,1,nagoya,map4
amc-nu,hakuturu583,1,tier4,map4
amc-nu,aohsato,1,tier4,map4
amc-nu,shinpei0208,1,tier4,map4
amc-nu,kfunaoka,1,tier4,map4
amc-nu,esteve,1,tier4,map4
amc-nu,k0suke-murakami,1,tier4,map4
amc-nu,sgermanserrano,1,Linaro,map4
amc-nu,JWhitleyWork,1,,map4
amc-nu,gbiggs,1,OSRF,map4
amc-nu,droneboxid,1,,map4
amc-nu,Mor-harry,1,reachauto,map4
amc-nu,tekrajchhetri,1,University of Southampton,map4
KenYN,syohex,1,Computing Platforms Federated Labratory,
KenYN,manato,1,tier4,
KenYN,kuriking,1,Aisan Tech,
KenYN,shinpei0208,1,tier4,
kuriking,yukkysaito,1,tier4,Aisan Tech
kuriking,shinpei0208,1,tier4,Aisan Tech
yukkysaito,syohex,1,Computing Platforms Federated Labratory,tier4
yukkysaito,amc-nu,1,map4,tier4
yukkysaito,dejanpan,1,apexai,tier4
yukkysaito,aohsato,1,tier4,tier4
yukkysaito,yukitsuji,1,"Preferred Networks, Inc.",tier4
yukkysaito,esteve,1,tier4,tier4
yukkysaito,sgermanserrano,1,Linaro,tier4
yukkysaito,gbiggs,1,OSRF,tier4
yukkysaito,isamu-takagi,1,tier4,tier4
travelbureau,syohex,1,Computing Platforms Federated Labratory,upenn
travelbureau,h-ohta,1,tier4,upenn
pdsljp,syohex,1,Computing Platforms Federated Labratory,
pdsljp,h-ohta,1,tier4,
pdsljp,amc-nu,1,map4,
pdsljp,shinpei0208,1,tier4,
garaemon,kuriking,1,Aisan Tech,@GITAI
tushar-dadlani,yukkysaito,1,tier4,Walmart
messi49,yk-fujii,1,tier4,tier4
messi49,aohsato,1,tier4,tier4
sujiwo,kitsukawa,1,map4,Nagoya University
sujiwo,dejanpan,1,apexai,Nagoya University
sujiwo,asimay,1,@xiaopeng,Nagoya University
sujiwo,hakuturu583,1,tier4,Nagoya University
sujiwo,gbiggs,1,OSRF,Nagoya University
mingrutar,h-ohta,1,tier4,
mingrutar,kuriking,1,Aisan Tech,
droter,messi49,1,tier4,
droter,shinpei0208,1,tier4,
hatem-darweesh,kitsukawa,1,map4,Nagoya University
hatem-darweesh,h-ohta,1,tier4,Nagoya University
hatem-darweesh,amc-nu,1,map4,Nagoya University
hatem-darweesh,yk-fujii,1,tier4,Nagoya University
hatem-darweesh,dejanpan,1,apexai,Nagoya University
hatem-darweesh,shinpei0208,1,tier4,Nagoya University
hatem-darweesh,kfunaoka,1,tier4,Nagoya University
hatem-darweesh,esteve,1,tier4,Nagoya University
jitrc,syohex,1,Computing Platforms Federated Labratory,Ridecell
jitrc,kitsukawa,1,map4,Ridecell
jitrc,h-ohta,1,tier4,Ridecell
yk-fujii,kitsukawa,1,map4,tier4
yk-fujii,amc-nu,1,map4,tier4
yk-fujii,messi49,1,tier4,tier4
yk-fujii,YamatoAndo,1,tier4,tier4
yk-fujii,dejanpan,1,apexai,tier4
yk-fujii,asimay,1,@xiaopeng,tier4
yk-fujii,aohsato,1,tier4,tier4
yk-fujii,shinpei0208,1,tier4,tier4
yk-fujii,k0suke-murakami,1,tier4,tier4
yk-fujii,gbiggs,1,OSRF,tier4
yk-fujii,czluck,1,,tier4
yk-fujii,wsung1,1,,tier4
anhnv3991,kitsukawa,1,map4,map4
anhnv3991,yk-fujii,1,tier4,map4
anhnv3991,YamatoAndo,1,tier4,map4
anhnv3991,dejanpan,1,apexai,map4
anhnv3991,asimay,1,@xiaopeng,map4
anhnv3991,munirfarzeen,1,,map4
YamatoAndo,kitsukawa,1,map4,tier4
YamatoAndo,amc-nu,1,map4,tier4
YamatoAndo,yukkysaito,1,tier4,tier4
YamatoAndo,messi49,1,tier4,tier4
YamatoAndo,yk-fujii,1,tier4,tier4
YamatoAndo,dejanpan,1,apexai,tier4
YamatoAndo,asimay,1,@xiaopeng,tier4
YamatoAndo,aohsato,1,tier4,tier4
YamatoAndo,daifuku07,1,PlatIV,tier4
YamatoAndo,gbiggs,1,OSRF,tier4
YamatoAndo,hunkyu,1,Southwest University of Science and Technology,tier4
YamatoAndo,javcursor,1,,tier4
dejanpan,amc-nu,1,map4,apexai
dejanpan,yk-fujii,1,tier4,apexai
dejanpan,YamatoAndo,1,tier4,apexai
dejanpan,sumanth-nirmal,1,apexai,apexai
alexandrx,amc-nu,1,map4,nagoya
alexandrx,yukkysaito,1,tier4,nagoya
alexandrx,dejanpan,1,apexai,nagoya
alexandrx,aohsato,1,tier4,nagoya
alexandrx,esteve,1,tier4,nagoya
alexandrx,sgermanserrano,1,Linaro,nagoya
alexandrx,gbiggs,1,OSRF,nagoya
yn-mrse,yk-fujii,1,tier4,tier4
yn-mrse,dejanpan,1,apexai,tier4
yn-mrse,hakuturu583,1,tier4,tier4
yn-mrse,aohsato,1,tier4,tier4
yn-mrse,andoh104,1,tier4,tier4
yn-mrse,gbiggs,1,OSRF,tier4
yn-mrse,hadiTab,1,Amazon Lab126,tier4
christopherho-ApexAI,amc-nu,1,map4,apexai
christopherho-ApexAI,dejanpan,1,apexai,apexai
hiro-ya-iv,yk-fujii,1,tier4,tier4
hiro-ya-iv,dejanpan,1,apexai,tier4
hiro-ya-iv,shinpei0208,1,tier4,tier4
asimay,yk-fujii,1,tier4,@xiaopeng
asimay,dejanpan,1,apexai,@xiaopeng
130s,amc-nu,1,map4,
130s,yk-fujii,1,tier4,
130s,dejanpan,1,apexai,
hakuturu583,amc-nu,1,map4,tier4
hakuturu583,yukkysaito,1,tier4,tier4
hakuturu583,yk-fujii,1,tier4,tier4
hakuturu583,YamatoAndo,1,tier4,tier4
hakuturu583,dejanpan,1,apexai,tier4
hakuturu583,yn-mrse,1,tier4,tier4
hakuturu583,mitsudome-r,1,tier4,tier4
hakuturu583,k0suke-murakami,1,tier4,tier4
hakuturu583,sgermanserrano,1,Linaro,tier4
hakuturu583,gbiggs,1,OSRF,tier4
hakuturu583,wep21,1,tier4,tier4
aohsato,kitsukawa,1,map4,tier4
aohsato,amc-nu,1,map4,tier4
aohsato,kuriking,1,Aisan Tech,tier4
aohsato,messi49,1,tier4,tier4
aohsato,yk-fujii,1,tier4,tier4
aohsato,YamatoAndo,1,tier4,tier4
aohsato,dejanpan,1,apexai,tier4
aohsato,yn-mrse,1,tier4,tier4
aohsato,hakuturu583,1,tier4,tier4
aohsato,kfunaoka,1,tier4,tier4
aohsato,esteve,1,tier4,tier4
aohsato,sgermanserrano,1,Linaro,tier4
aohsato,JWhitleyWork,1,,tier4
aohsato,gbiggs,1,OSRF,tier4
aohsato,wep21,1,tier4,tier4
aohsato,hamkuchan,1,,tier4
aohsato,kennedywai,1,HelloWorld Robotics,tier4
andoh104,kitsukawa,1,map4,tier4
andoh104,amc-nu,1,map4,tier4
andoh104,yk-fujii,1,tier4,tier4
andoh104,dejanpan,1,apexai,tier4
andoh104,yn-mrse,1,tier4,tier4
andoh104,gbiggs,1,OSRF,tier4
annaborn,amc-nu,1,map4,
annaborn,yk-fujii,1,tier4,
annaborn,dejanpan,1,apexai,
annaborn,gbiggs,1,OSRF,
geogrewang,yukkysaito,1,tier4,
geogrewang,dejanpan,1,apexai,
huiyi1990,yk-fujii,1,tier4,
ChenxiTU,kitsukawa,1,map4,
ChenxiTU,amc-nu,1,map4,
ChenxiTU,dejanpan,1,apexai,
ChenxiTU,shinpei0208,1,tier4,
ChenxiTU,kfunaoka,1,tier4,
ChenxiTU,mitsudome-r,1,tier4,
ChenxiTU,sgermanserrano,1,Linaro,
ChenxiTU,isamu-takagi,1,tier4,
ckirksey3,h-ohta,1,tier4,google
ckirksey3,yk-fujii,1,tier4,google
yukitsuji,yk-fujii,1,tier4,"Preferred Networks, Inc."
daifuku07,gbiggs,1,OSRF,PlatIV
n-patiphon,amc-nu,1,map4,wg-leads
n-patiphon,amc-nu,1,map4,map4
n-patiphon,dejanpan,1,apexai,wg-leads
n-patiphon,dejanpan,1,apexai,map4
n-patiphon,kargarisaac,1,SUPPLYZ.eu,wg-leads
n-patiphon,kargarisaac,1,SUPPLYZ.eu,map4
shinpei0208,yk-fujii,1,tier4,tier4
shinpei0208,asimay,1,@xiaopeng,tier4
320835,207,1,,
ompugao,amc-nu,1,map4,Nanyang Technological University
ompugao,yk-fujii,1,tier4,Nanyang Technological University
MasatoTange,syouji,1,Computing Platforms Federated Labratory,"Axe, inc."
LukeAI,sgermanserrano,1,Linaro,
LukeAI,gbiggs,1,OSRF,
kfunaoka,amc-nu,1,map4,tier4
kfunaoka,yn-mrse,1,tier4,tier4
kfunaoka,aohsato,1,tier4,tier4
kfunaoka,esteve,1,tier4,tier4
kfunaoka,k0suke-murakami,1,tier4,tier4
kfunaoka,sgermanserrano,1,Linaro,tier4
