title,Created_at,thread_id,subtitle_id,Type,Comment_text,creator
"Runtime Manager Quick Start tab, fix launch_kill proc for Rviz",2015-12-28T07:49:43Z,1,,,,kondoh2
"Runtime Manager Quick Start tab, fix rviz/cmd.sh",2015-12-28T02:05:55Z,2,,,,kondoh2
Support setting nice value,2015-12-27T07:03:46Z,3,1,answered,"Great, thanks!
2015/12/27 12:36 ""Syohei YOSHIDA"" notifications@github.com:

> Merged #187 https://github.com/CPFL/Autoware/pull/187.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/CPFL/Autoware/pull/187#event-500835586.
",shinpei0208
"Runtime Manager Quick Start tab, Rviz remote",2015-12-25T08:57:35Z,4,,,,kondoh2
Improve handling junction lane,2015-12-25T04:31:42Z,5,,,,syouji
Update AutowareRoute,2015-12-24T11:25:23Z,6,,,,syouji
Don't use absolute path,2015-12-24T10:21:34Z,7,,,,syohex
Implement process manager,2015-12-24T10:17:20Z,8,1,questioned,"NOTE: You need to input password when you execute `ros/run` script.

今後 `ros/run`を実行する際にパスワードを入力する必要があります.
問題がありましたらお知らせください.
",syohex
Update ndt matching,2015-12-24T07:26:59Z,9,,,,kitsukawa
Apply bashrc pull requests,2015-12-23T06:54:05Z,10,,,,syohex
Develop waypoint loader,2015-12-22T08:21:05Z,11,,,,h-ohta
Fix waypoint maker,2015-12-22T07:18:35Z,12,,,,h-ohta
Parse old CSV format,2015-12-22T05:39:09Z,13,1,questioned,"@h-ohta 現状公開している waypoint_loader用の CSVファイルは、yaw角のカラムを含まないため、ロードすると SEGV が発生しておりました。一時的な対応になるかもしれませんが、古いフォーマットも読めるように修正いたしました。
",syouji
Parse old CSV format,2015-12-22T07:05:01Z,13,2,answered,"@syouji 動作確認が出来ました。実装もこれで問題ないと思います。お手数おかけして申し訳ありませんでした。ありがとうございました。
",h-ohta
Avoid forced termination,2015-12-18T12:47:46Z,15,,,,TomohitoAndo
Add udon_socket package,2015-12-18T11:19:42Z,16,,,,syouji
Fix lane planner,2015-12-18T10:43:18Z,17,,,,h-ohta
Mod tlr,2015-12-18T08:10:28Z,18,1,questioned,"Please notify me if problems happen by this PR
",manato
Make the run command more agnostic to different terminals,2015-12-23T07:12:49Z,19,1,answered,"Thanks for PR. I have merged your commit at #180.
",syohex
Some suggested hardware requirements,2015-12-23T07:12:25Z,20,1,answered,"Thanks for PR. I have merged your commit at #180.
",syohex
More complete demo install instructions,2015-12-24T10:32:43Z,21,1,answered,"Thanks for suggestion. I have merged your change partially.
",syohex
Fix wf simulator,2015-12-17T10:03:45Z,22,,,,h-ohta
Fix visualization for simulation mode,2015-12-17T10:03:33Z,23,,,,TomohitoAndo
Develop multi lane,2015-12-17T08:08:01Z,24,,,,h-ohta
Communicate by key value data format,2015-12-17T07:51:59Z,25,,,,syouji
Synchronize button view with vehicle information,2015-12-17T07:35:24Z,26,,,,syouji
Define meter color,2015-12-17T07:04:35Z,27,,,,syouji
Develop velocity set,2015-12-17T06:03:31Z,28,,,,TomohitoAndo
Accelerate euclidean cluster,2015-12-11T04:06:12Z,29,,,,h-ohta
"Runtime Manager, add Autoware logo, update Icon",2015-12-10T09:56:27Z,30,,,,kondoh2
Fix get closest waypoint,2015-12-09T10:06:36Z,31,,,,h-ohta
ndt_matching supports setup tab.,2015-12-08T15:45:27Z,32,,,,kitsukawa
Velocity set dev,2015-12-08T06:33:29Z,33,,,,TomohitoAndo
"Runtime Manager Setup tab, fix about Vehicle Model path",2015-12-08T05:27:03Z,34,,,,kondoh2
"Runtime Manager Setup tab, fix PCD Binarizer path",2015-12-08T05:13:08Z,35,1,questioned,"コミットメッセージが間違っていました。
本対応は Setupタブ Vehicle Model path についての修正で、
Mapタブ PCD Binarizer の設定とは関係ありません。
",kondoh2
