title,user_id,created_at,comments
No package mactching ros-galactic-desktop available  for AWSIM-stable branch in Ubuntu 22.04,anilbommareddy,2022-12-27T04:14:09Z,"[{'user_id': 'kenji-miyake', 'created_at': '2022-12-27T04:19:06Z', 'comment_text': '@shmpwk Could you tell me the right branch we should use for Humble?'}, {'user_id': 'shmpwk', 'created_at': '2022-12-27T05:17:42Z', 'comment_text': '@anilbommareddy \r\nCurrently, the official support for AWSIM is only ROS2 Galactic, Ubuntu20.04.\r\n\r\nFor Ubuntu 22.04, try work in progress version which includes our individual repos but will be officially supported soon:\r\nAutoware: https://github.com/shmpwk/autoware/tree/humble-awsim-stable\r\nAWSIM: https://github.com/tier4/AWSIM/tree/humble\r\n\r\nTry the following command\r\n```\r\ngit clone https://github.com/shmpwk/autoware/\r\ncd autoware\r\ngit checkout humble-awsim-stable\r\n./setup-dev-env.sh  #*/enter Y and install cuda-Y.\r\nmkdir src\r\nvcs import src < autoware.repos\r\nsource /opt/ros/humble/setup.bash\r\nrosdep update\r\nrosdep install -y --from-paths src --ignore-src --rosdistro $ROS_DISTRO\r\ncolcon build --symlink-install --cmake-args -DCMAKE_BUILD_TYPE=Release -DCMAKE_CXX_FLAGS=""-w""\r\nsource install/setup.bash\r\nros2 launch autoware_launch e2e_simulator.launch.xml vehicle_model:=sample_vehicle sensor_model:=awsim_sensor_kit map_path:=<your mapfile location>\r\n```\r\n\r\nNote that when launching AWSIM, you need its binary. But currently we have only Galactic version of binary.\r\nYou have to create AWSIM binary for Humble by yourself from https://github.com/tier4/AWSIM/tree/humble.'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T04:51:38Z', 'comment_text': 'hii @shmpwk \r\nShall we install autoware for AWSIM in ubuntu 22.04 by your above steps.'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T04:57:38Z', 'comment_text': '@patelabhay-12 \r\nStill the above step is not official but now should work correctly in Ubuntu 22.04 from the success of my several co-workers  attempts.'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T05:03:21Z', 'comment_text': '\r\n![Screenshot from 2023-01-04 10-30-12](https://user-images.githubusercontent.com/89857716/210487834-a489a689-053f-46bb-9f49-1f8e386ef9c9.png)\r\nokay, But I got the error when giving the below command-\r\ncolcon build --symlink-install --cmake-args -DCMAKE_BUILD_TYPE=Release -DCMAKE_CXX_FLAGS=""-w""\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T05:12:27Z', 'comment_text': '@patelabhay-12 \r\nLet me check several points\r\n- Did you succeeded following without any error:  `./setup-dev-env.sh`, `vcs import src < autoware.repos`, `rosdep update`, `rosdep install -y --from-paths src --ignore-src --rosdistro $ROS_DISTRO` ?\r\n- Have you built the other Autoware branch under your `~/autoware` folder?'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T05:14:41Z', 'comment_text': 'I firstly doubted [this issue](https://github.com/autowarefoundation/autoware/issues/3119) but it seems you have different error :thinking: '}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T05:25:02Z', 'comment_text': '> @patelabhay-12 Let me check several points\r\n> \r\n>     * Did you succeeded following without any error:  `./setup-dev-env.sh`, `vcs import src < autoware.repos`, `rosdep update`, `rosdep install -y --from-paths src --ignore-src --rosdistro $ROS_DISTRO` ?\r\n> \r\n>     * Have you built the other Autoware branch under your `~/autoware` folder?\r\n\r\nyes I succeeded in following without any error.\r\n\r\nYes, I built the other Autoware branch under our ~/autoware folder\r\n![image](https://user-images.githubusercontent.com/89857716/210490133-51c72c01-2700-4c10-871f-75c812d3afc7.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T05:28:15Z', 'comment_text': '> Yes, I built the other Autoware branch under your ~/autoware folder\r\n\r\nIn that case you might mixed the previous build cache. Could you once `rm build install log  -f` under `~/autoware` ? and colcon build again?'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T05:37:21Z', 'comment_text': '> > Yes, I built the other Autoware branch under your ~/autoware folder\r\n> \r\n> In that case you might mixed the previous build cache. Could you once `rm build install log` under `~/autoware` ? and colcon build again?\r\n\r\nDid the same, & getting error again\r\n![Screenshot from 2023-01-04 11-06-12](https://user-images.githubusercontent.com/89857716/210491017-f1e704da-0d27-4ec3-81ea-c9142e68da13.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T05:49:49Z', 'comment_text': '@patelabhay-12 \r\nAccording to [this issue](https://github.com/koide3/ndt_omp/issues/47), your PCL version is much newer than we expected? Could you share your PCL version? \r\n\r\n```\r\n$ dpkg -l |grep pcl\r\n```\r\nHave you manually installed PCL in Ubuntu22.04? (should be automatically installed with our Autoware setup) '}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T06:49:59Z', 'comment_text': '![image](https://user-images.githubusercontent.com/89857716/210499461-71bcde79-11d5-484c-a4d4-bba0ea7db9c4.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T07:01:59Z', 'comment_text': ""We don't use `pcl-tools` and `python3-pcl`. Could you remove these pakages by `sudo apt remove pcl-tools python3-pcl` ? ""}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T07:04:52Z', 'comment_text': 'FYI, this is our environment. \r\n![image (4)](https://user-images.githubusercontent.com/42209144/210501342-8869bbe5-5517-4639-9d03-306a325b860e.png)\r\n\r\n(We might also need `ros-humble-perception-pcl` which should be installed by `rosdep install -y --from-paths src --ignore-src --rosdistro $ROS_DISTRO`)'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T07:38:45Z', 'comment_text': 'I did the same for installation of ros-humble-perception-pcl , but its not showing ??\r\n![Screenshot from 2023-01-04 13-08-06](https://user-images.githubusercontent.com/89857716/210506189-665c1a10-2dce-454e-b0d7-4a1c96a457a0.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T07:45:24Z', 'comment_text': 'It seems `pcl-tools` and `python3-pcl` are succeeded to delete.\r\nAs for `ros-humble-perception-pcl `, it is not related to your error at least for now. (Perhaps it might cause the other perception pakage error later on.)\r\n\r\nCould you try this under `~/autoware/`?\r\n```\r\nrm build/ndt_omp/ install/share/ndt_omp/ install/include/ndp_omp -rf \r\n```\r\nand then colcon build again?'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T07:57:18Z', 'comment_text': 'did the same & also getting same errors.\r\n![Screenshot from 2023-01-04 13-26-45](https://user-images.githubusercontent.com/89857716/210509018-852643fa-7d42-4954-969b-646321751c1e.png)\r\n![Screenshot from 2023-01-04 13-25-36](https://user-images.githubusercontent.com/89857716/210509052-17e03238-3394-4a5f-aea5-8fd50603e46f.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T08:26:48Z', 'comment_text': '@patelabhay-12 \r\nCould you try manually  `sudo apt install ros-humble-perception-pcl` ? (This is not good way but not harmful to your environment.)\r\n\r\n(For my memo: the status looks good https://repo.ros2.org/status_page/ros_humble_default.html)'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T08:52:56Z', 'comment_text': '![Screenshot from 2023-01-04 14-19-41](https://user-images.githubusercontent.com/89857716/210517727-21bf6a17-4453-47b7-b7dd-f6b8e7ed8dbf.png)\r\n![Screenshot from 2023-01-04 14-19-41](https://user-images.githubusercontent.com/89857716/210517760-e966d825-e410-4566-813f-1e7914b6c7ca.png)\r\n\r\n\r\n\r\n![Screenshot from 2023-01-04 14-21-29](https://user-images.githubusercontent.com/89857716/210518036-f8c227b6-9ee9-4a75-8d02-6b1ae8646b0e.png)\r\n\r\nros-humble-perception-pcl is installed successfully, after that i try same and getting same errors\r\n\r\n'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T08:54:41Z', 'comment_text': 'same error\r\n\r\n![image](https://user-images.githubusercontent.com/89857716/210518575-def76184-20eb-4690-a8bb-c9751b62a0fe.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T08:58:15Z', 'comment_text': '@patelabhay-12 \r\n\r\nIn your error log, I found your build depends `/usr/local/include/pcl-1.13 ......` which is newer than we expected (we expect 1.12).\r\nSo you should remove it.  ~~Now I investigate how to remove it ....... or do you know it?~~'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T09:05:34Z', 'comment_text': '@patelabhay-12 \r\nYou can remove it directly by\r\n```\r\nsudo rm /usr/local/include/pcl-1.13/ -rf\r\n```\r\n\r\nFYI, I have experienced the similar situation and I was taught to do that before ([japanese issues](https://github.com/jsk-ros-pkg/jsk_recognition/issues/2505#issuecomment-633787027) ).\r\n\r\n\r\nAfter remove it, be sure not to exist pcl-1.13. \r\nYou can confirm it by\r\n```\r\nlocate pcl_  |grep 1.13\r\nlocate libpcl_  |grep 1.13\r\n```\r\nwithout output.'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T09:16:54Z', 'comment_text': 'I removed it by sudo rm /usr/local/include/pcl-1.13/ -rf\r\nthen try colcon build, now its showing that fatal error: pcl/point_types.h: No such file or directory\r\n\r\n\r\n\r\n![error1](https://user-images.githubusercontent.com/89857716/210522641-b2c2042e-3d78-486a-8fd4-aa1770646e8a.png)\r\n![error2](https://user-images.githubusercontent.com/89857716/210522679-7dfc4484-ee81-4063-8ca1-04268fc295b7.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T09:20:10Z', 'comment_text': 'OK, in that situation, you have to execute `rm build install log  -rf` under `~/autoware` to remove the previous pcl build dependency.'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T09:22:52Z', 'comment_text': 'rm build install log  -rf \r\nafter this, Shall I give colcon build'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T09:23:21Z', 'comment_text': 'YES!'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T09:28:08Z', 'comment_text': '![image](https://user-images.githubusercontent.com/89857716/210524298-99930d87-348f-4275-8b92-e01c8c7f19a3.png)\r\n\r\nnow iot is showing error in Cmake list\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T09:29:34Z', 'comment_text': 'You need ` sudo rm  /usr/share/pcl-1.13/  -rf` , `rm build install log  -rf`, colcon build\r\n\r\nAfter remove it, be sure not to exist pcl-1.13.\r\nYou can confirm it by\r\n```\r\nlocate pcl_  |grep 1.13\r\nlocate libpcl_  |grep 1.13\r\n```\r\nwithout any output.'}, {'user_id': 'patelabhay-12', 'created_at': '2023-01-04T09:41:48Z', 'comment_text': 'after giving  sudo rm  /usr/share/pcl-1.13/  -rf\r\nand rm build install log  -rf\r\n\r\nand then i  locate pcl by locate libpcl_  |grep 1.13\r\nit is showing PCL 1.13 , i think these are not removed so we got errors\r\n\r\n![image](https://user-images.githubusercontent.com/89857716/210526703-d7dc1b09-163b-48fe-95c2-b8a9571f9fde.png)\r\n\r\n![image](https://user-images.githubusercontent.com/89857716/210526779-dd3cba97-9660-42f9-be5a-6be4930d8987.png)\r\n'}, {'user_id': 'shmpwk', 'created_at': '2023-01-04T09:43:54Z', 'comment_text': 'Your pcl under home directory is basically not depended and do not have to remove them.'}]"
chore(pre-commit workflows): add comments to recommend using pre-commit.ci,kenji-miyake,2022-12-22T06:15:56Z,[]
DevOps Dojo: ROS Node Documentation (Phase 1),kaspermeck-arm,2022-12-21T22:27:29Z,"[{'user_id': 'kaspermeck-arm', 'created_at': '2023-01-11T02:00:56Z', 'comment_text': 'Replaced with https://github.com/autowarefoundation/autoware.universe/issues/2630.'}]"
DevOps Dojo: ROS Node Configuration (Phase 1),kaspermeck-arm,2022-12-21T22:15:16Z,"[{'user_id': 'kaspermeck-arm', 'created_at': '2023-01-11T02:00:07Z', 'comment_text': 'Replaced with https://github.com/autowarefoundation/autoware.universe/issues/2631.'}]"
ci(pre-commit): autoupdate,pre-commit-ci[bot],2022-12-12T17:29:27Z,[]
chore(release): update galactic branch,shmpwk,2022-12-12T10:47:11Z,"[{'user_id': 'shmpwk', 'created_at': '2022-12-19T10:52:57Z', 'comment_text': 'All related PRs have been merged. \r\nAlso, I tested this with AWSIM and works as I expected.'}]"
ci: add workaround for galactic eol,wep21,2022-12-12T08:19:06Z,"[{'user_id': 'kenji-miyake', 'created_at': '2022-12-12T08:39:16Z', 'comment_text': 'Related: https://github.com/autowarefoundation/autoware/discussions/2622#discussioncomment-4375825'}, {'user_id': 'kenji-miyake', 'created_at': '2022-12-12T08:40:27Z', 'comment_text': 'In addition to `vcs-import`, there are some lines that use `rosdep update`.\r\nhttps://github.com/autowarefoundation/autoware/blob/9da9b5e25d40b5c9d4d7141ef807325de2077bcf/.github/workflows/build-main.yaml#L41'}]"
Source installation failed: ndt_omp ,cjffly,2022-12-08T19:27:51Z,"[{'user_id': 'kenji-miyake', 'created_at': '2022-12-09T01:34:03Z', 'comment_text': '@cjffly Was your Ubuntu 22.04 clean-installed? Or was upgraded from 20.04? I guess there are some issues with your environment.\r\nMy gcc version is also `gcc (Ubuntu 11.3.0-1ubuntu1~22.04) 11.3.0`, but can successfully build ndt_omp.'}, {'user_id': 'cjffly', 'created_at': '2022-12-09T18:07:25Z', 'comment_text': '> @cjffly Was your Ubuntu 22.04 clean-installed? Or was upgraded from 20.04? I guess there are some issues with your environment. My gcc version is also `gcc (Ubuntu 11.3.0-1ubuntu1~22.04) 11.3.0`, but can successfully build ndt_omp.\r\n\r\nYou are right, mine is upgraded from 20.04. Not sure if there is quick fix or I have to reinstall 22.04 from scratch.'}, {'user_id': 'kenji-miyake', 'created_at': '2022-12-10T16:27:10Z', 'comment_text': ""I guess there is some cache remaining, or your environment variable is wrong. Please check them.\r\n@cjffly If it's not a bug, can I close this issue? Or can I convert this issue to a discussion thread?""}, {'user_id': 'cjffly', 'created_at': '2022-12-10T17:17:54Z', 'comment_text': ""> I guess there is some cache remaining, or your environment variable is wrong. Please check them.\n> @cjffly If it's not a bug, can I close this issue? Or can I convert this issue to a discussion thread?\n\nMaybe concert into issue would work. I will try to fix my environment and update here later""}]"
fix(.webauto-ci): update Webauto CI for humble,mitsudome-r,2022-12-05T01:57:25Z,"[{'user_id': 'mitsudome-r', 'created_at': '2022-12-05T01:58:12Z', 'comment_text': 'I\'m testing this on TIER IV Evaluator before making it ""Ready for review"".'}, {'user_id': 'mitsudome-r', 'created_at': '2022-12-09T07:31:42Z', 'comment_text': 'I confirmed that the build is passing in evaluator so merging this PR.'}]"
fix(.webauto-ci): update Webauto CI for humble,mitsudome-r,2022-12-05T01:55:09Z,[]
