title,Created_at,thread_id,subtitle_id,Type,Comment_text,Time_to_Close,Time_to_First_Response
"Runtime Manager Quick Start tab, fix launch_kill proc for Rviz",2015-12-28T07:49:43Z,1,,,,,
"Runtime Manager Quick Start tab, fix rviz/cmd.sh",2015-12-28T02:05:55Z,2,,,,,
Support setting nice value,2015-12-27T07:03:46Z,3,1,answered,"Great, thanks!
2015/12/27 12:36 ""Syohei YOSHIDA"" notifications@github.com:

> Merged #187 https://github.com/CPFL/Autoware/pull/187.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/CPFL/Autoware/pull/187#event-500835586.
",646.0,13075.0
"Runtime Manager Quick Start tab, Rviz remote",2015-12-25T08:57:35Z,4,,,,,
Improve handling junction lane,2015-12-25T04:31:42Z,5,,,,,
Update AutowareRoute,2015-12-24T11:25:23Z,6,,,,,
Don't use absolute path,2015-12-24T10:21:34Z,7,,,,,
Implement process manager,2015-12-24T10:17:20Z,8,1,questioned,"NOTE: You need to input password when you execute `ros/run` script.

今後 `ros/run`を実行する際にパスワードを入力する必要があります.
問題がありましたらお知らせください.
",10112.0,10191.0
Update ndt matching,2015-12-24T07:26:59Z,9,,,,,
Apply bashrc pull requests,2015-12-23T06:54:05Z,10,,,,,
Develop waypoint loader,2015-12-22T08:21:05Z,11,,,,,
Fix waypoint maker,2015-12-22T07:18:35Z,12,,,,,
Parse old CSV format,2015-12-22T05:39:09Z,13,1,questioned,"@h-ohta 現状公開している waypoint_loader用の CSVファイルは、yaw角のカラムを含まないため、ロードすると SEGV が発生しておりました。一時的な対応になるかもしれませんが、古いフォーマットも読めるように修正いたしました。
",261.0,584.0
Parse old CSV format,2015-12-22T07:05:01Z,13,2,answered,"@syouji 動作確認が出来ました。実装もこれで問題ないと思います。お手数おかけして申し訳ありませんでした。ありがとうございました。
",261.0,584.0
Avoid forced termination,2015-12-18T12:47:46Z,15,,,,,
Add udon_socket package,2015-12-18T11:19:42Z,16,,,,,
Fix lane planner,2015-12-18T10:43:18Z,17,,,,,
Mod tlr,2015-12-18T08:10:28Z,18,1,questioned,"Please notify me if problems happen by this PR
",52.0,46.0
Make the run command more agnostic to different terminals,2015-12-23T07:12:49Z,19,1,answered,"Thanks for PR. I have merged your commit at #180.
",491668.0,491668.0
Some suggested hardware requirements,2015-12-23T07:12:25Z,20,1,answered,"Thanks for PR. I have merged your commit at #180.
",501957.0,501957.0
More complete demo install instructions,2015-12-24T10:32:43Z,21,1,answered,"Thanks for suggestion. I have merged your change partially.
",600951.0,600951.0
Fix wf simulator,2015-12-17T10:03:45Z,22,,,,,
Fix visualization for simulation mode,2015-12-17T10:03:33Z,23,,,,,
Develop multi lane,2015-12-17T08:08:01Z,24,,,,,
Communicate by key value data format,2015-12-17T07:51:59Z,25,,,,,
Synchronize button view with vehicle information,2015-12-17T07:35:24Z,26,,,,,
Define meter color,2015-12-17T07:04:35Z,27,,,,,
Develop velocity set,2015-12-17T06:03:31Z,28,,,,,
Accelerate euclidean cluster,2015-12-11T04:06:12Z,29,,,,,
"Runtime Manager, add Autoware logo, update Icon",2015-12-10T09:56:27Z,30,,,,,
Fix get closest waypoint,2015-12-09T10:06:36Z,31,,,,,
ndt_matching supports setup tab.,2015-12-08T15:45:27Z,32,,,,,
Velocity set dev,2015-12-08T06:33:29Z,33,,,,,
"Runtime Manager Setup tab, fix about Vehicle Model path",2015-12-08T05:27:03Z,34,,,,,
"Runtime Manager Setup tab, fix PCD Binarizer path",2015-12-08T05:13:08Z,35,1,questioned,"コミットメッセージが間違っていました。
本対応は Setupタブ Vehicle Model path についての修正で、
Mapタブ PCD Binarizer の設定とは関係ありません。
",7.0,12072.0
"Runtime Manager Setup tab, add Setup tab",2015-12-07T03:58:53Z,36,,,,,
Ndt matching mod tf tree,2015-12-04T10:26:21Z,37,,,,,
"Runtime Manger Computing tab, add sched policy GUI",2015-12-04T09:29:48Z,38,1,answered,"**NOTE: rootで Runtime Managerを起動しないと機能しません**

@kondoh2 対応有難うございました.
",24.0,148.0
Stop publishing messages of lane namespace,2015-12-04T05:12:06Z,39,,,,,
"Put vehicle model(default.dae, prius.dae) under ros/src/.config/model",2015-12-03T15:33:49Z,40,,,,,
"Runtime Manager, update get_top() call to built-in next() call",2015-12-03T09:25:54Z,41,,,,,
Bug fix for the probrem about range of circle,2015-12-02T10:55:14Z,42,,,,,
Fix invalid pointer access issue,2015-12-02T09:53:06Z,43,,,,,
"Runtime Manager Computing tab, update sys app link design",2015-12-02T07:04:51Z,44,,,,,
"Runtime Manager Map tab, add pcd tools",2015-12-02T06:42:58Z,45,,,,,
Move initialization of points_nr,2015-11-30T16:28:58Z,46,,,,,
Add map_tools.,2015-11-27T14:19:52Z,47,,,,,
Replace Prius Model.,2015-11-26T12:48:25Z,48,,,,,
Some Fix for libwaypointfollower,2015-11-25T12:31:37Z,49,,,,,
Filter lateral acceleration ,2015-11-19T13:15:32Z,50,,,,,
Add yaw data in lane waypoints,2015-11-19T12:57:55Z,51,1,questioned,"@syouji 
waypoint_saverとwaypoint_loaderについて、yawデータを含む形式のcsvファイルを扱えるように修正しました。
lane_navi、waypoint_clickerの変更と合わせてご確認頂き、問題が無いようであればマージをお願いできますでしょうか。
",2412654.0,171.0
Add yaw data in lane waypoints,2015-12-17T10:31:42Z,51,2,questioned,"@syouji 
コンフリクトと種々の調整を行いました。
そちらの変更と合わせてご確認頂き、問題なければマージおねがいします。
",2412654.0,171.0
Add yaw data in lane waypoints,2015-12-17T11:05:24Z,51,3,answered,"@h-ohta

> コンフリクトと種々の調整を行いました。
> そちらの変更と合わせてご確認頂き、問題なければマージおねがいします。

コンフリクトの解決ありがとうございます。
問題ないと思います。

lane_navi、waypoint_clicker の yaw角対応を追加いたしました。
- lane_navi の変更点
  - Androidタブレットから受信した経路データから yaw角を計算し、その値を CSVファイルへ保存
  - yaw角から orientation を計算し、LaneArrayメッセージへ格納
- waypoint_clicker
  - クリックした点と対応するベクタ地図のウェイポイントからyaw角を計算し、ファイルへ保存
",2412654.0,171.0
Mod vscan,2015-11-19T08:29:10Z,54,1,questioned,"Please notify my if you have issue about this PR
",67.0,171.0
Fix package name which has velodyne launch files,2015-11-19T06:17:44Z,55,,,,,
Klt improvements,2015-11-19T03:02:00Z,56,1,questioned,"Could you check it Yosh-san? @syohex 
If it's ok, could you please merge it into master?
Thanks
",2552.0,395.0
Update velodyne subtree,2015-11-19T05:42:58Z,57,1,questioned,"Please report me if you have issue about this PR.
",96413.0,96434.0
"Runtime Manager Map tab, fix pcd load OK msg at filed",2015-11-17T10:09:46Z,58,,,,,
Always check return value from CUDA API,2015-11-16T10:53:03Z,59,,,,,
Don't use older option name,2015-11-16T07:18:46Z,60,,,,,
Correct kenyn fix,2015-11-16T07:11:00Z,61,,,,,
Need one more convStream element,2015-11-16T05:55:03Z,62,1,answered,"Looks good.
",791.0,455.0
