title,user_id,created_at,comments
 integration week 2 (inheritance of # 995),yk-fujii,2017-12-27T08:33:42Z,"[{'user_id': 'dejanpan', 'created_at': '2017-12-27T09:45:28Z', 'comment_text': 'Thx. I will then fix comments from autowarefoundation/autoware#995 myself.'}, {'user_id': 'aohsato', 'created_at': '2018-01-10T14:47:44Z', 'comment_text': '@dejanpan I added 2 commits that velocity_set has multiple configurations for stopping before obstacles and at stopline.\r\nEach of the two parameters was split into two.\r\n`OtherDistance -> StopDistance for Obstacle/Stopline`\r\n`Deceleration -> Deceleration for Obstacle/Stopline`\r\n\r\n![screenshot from 2018-01-10 23-38-21](https://user-images.githubusercontent.com/1531482/34777999-5c303220-f65f-11e7-9958-0d638ccbbef2.png)\r\n\r\n| stop by stopline (BLUE fence) | stop by obstacle (RED fence) |\r\n|-----------------------|-----------------------|\r\n| ![screenshot from 2018-01-10 23-16-21](https://user-images.githubusercontent.com/1531482/34777840-ecb31ac0-f65e-11e7-81d7-6295e1c0a6bf.png) | ![screenshot from 2018-01-10 23-22-42](https://user-images.githubusercontent.com/1531482/34777848-f313f04c-f65e-11e7-8535-8e5ec7e53dbf.png) |\r\n\r\n\r\n'}, {'user_id': 'yk-fujii', 'created_at': '2018-01-11T01:42:52Z', 'comment_text': '@aohsato Could you enlarge the app dialog vertically?\r\nPlease refer to the following:\r\nhttps://github.com/CPFL/Autoware/blob/master/ros/src/util/packages/runtime_manager/scripts/computing.yaml#L644-L646'}, {'user_id': 'aohsato', 'created_at': '2018-01-11T04:54:42Z', 'comment_text': '@yk-fujii Done. Btw, do you want to fix all app tab after this?\r\n![screenshot from 2018-01-11 13-51-55](https://user-images.githubusercontent.com/1531482/34809190-ccf3bef6-f6d6-11e7-9c5e-c128bfb72c78.png)\r\n\r\n'}, {'user_id': 'dejanpan', 'created_at': '2018-01-14T08:11:44Z', 'comment_text': '@aohsato can you please tell me how are the steps to test above feature?'}, {'user_id': 'dejanpan', 'created_at': '2018-01-15T06:03:09Z', 'comment_text': '@yk-fujii I see that you enabled Travis CI. I would really suggest to wait couple of more days till Sumanth is done with https://github.com/CPFL/Autoware/issues/766. The problem is that your package.xml and CMakeLists.txt are all messed up.'}, {'user_id': 'dejanpan', 'created_at': '2018-01-15T06:03:34Z', 'comment_text': 'I will merge this PR since it goes into another, non-release branch.'}, {'user_id': 'yk-fujii', 'created_at': '2018-01-15T06:37:31Z', 'comment_text': ""@dejanpan \r\nokay,\r\n@yn-mrse is in charge of CI (in tieriv) and I turned it on his request. Turn off it.\r\nI do not grasp much. sorry, I'll tell him.""}, {'user_id': 'aohsato', 'created_at': '2018-01-15T13:13:24Z', 'comment_text': ""@dejanpan For testing my modification of velocity_set, please execute under rosbag simulation.\r\nThe positions of detected obstacles on waypoints are described as RED fence, and you can modify `Stop Distance/Deceleration for Obstacle` parameters for speed planning.\r\nAbout stop line, too. That's described as BLUE fence, and there are `Stop Distance/Deceleration for Stopline` parameters.""}]"
"- Add modularized OpenPlanner to autoware , 2nd PR",hatem-darweesh,2017-12-26T18:09:37Z,"[{'user_id': 'hatem-darweesh', 'created_at': '2018-01-04T18:41:42Z', 'comment_text': '@dejanpan Thank you very much. \r\nyou really read every line , that is so impressive! \r\nI will check for the pram backward compatibility and push the changes. \r\nThanks again. '}, {'user_id': 'hatem-darweesh', 'created_at': '2018-02-06T08:38:09Z', 'comment_text': 'Dear @dejanpan @aohsato , \r\nI did fix the critical issues, most of the noncritical issue, ignored issues that need redesign. \r\nkindly check to merge this to develop. \r\nRegards, '}]"
Fix crash on NDT mapping gpu,anhnv3991,2017-12-26T06:24:40Z,"[{'user_id': 'kitsukawa', 'created_at': '2017-12-27T08:39:49Z', 'comment_text': ""@anhnv3991 \r\nThe error still happens on my PC.\r\nUbuntu 14.04 + ROS Indigo\r\nGeForce GTX TITAN Black\r\nCUDA 8.0\r\n```\r\n['roslaunch', 'ndt_localizer', 'ndt_mapping.launch', 'use_imu:=False', 'imu_topic:=/imu_raw', 'use_odom:=False', 'imu_upside_down:=False', 'use_openmp:=False', 'use_fast_pcl:=False', 'use_gpu:=True']\r\npid=5373\r\nsched policy=OTHER prio=0\r\n... logging to /home/kitsukawa/.ros/log/19150b26-eae0-11e7-a35a-d0509946b845/roslaunch-lab-5373.log\r\nChecking log directory for disk usage. This may take awhile.\r\nPress Ctrl-C to interrupt\r\nDone checking log file disk usage. Usage is <1GB.\r\n\r\nstarted roslaunch server http://lab:45588/\r\n\r\nSUMMARY\r\n========\r\n\r\nPARAMETERS\r\n* /ndt_mapping/imu_topic: /imu_raw\r\n* /ndt_mapping/imu_upside_down: False\r\n* /ndt_mapping/use_fast_pcl: False\r\n* /ndt_mapping/use_gpu: True\r\n* /ndt_mapping/use_imu: False\r\n* /ndt_mapping/use_odom: False\r\n* /ndt_mapping/use_openmp: False\r\n* /rosdistro: indigo\r\n* /rosversion: 1.11.21\r\n\r\nNODES\r\n/\r\nndt_mapping (ndt_localizer/ndt_mapping)\r\nqueue_counter (ndt_localizer/queue_counter)\r\n\r\nROS_MASTER_URI=http://localhost:11311\r\n\r\ncore service [/rosout] found\r\nuse_imu: 0\r\nuse_gpu: 1\r\nuse_openmp: 0\r\nuse_fast_pcl: 0\r\nimu_upside_down: 0\r\nuse_odom: 0\r\nimu_topic: /imu_raw\r\n(tf_x,tf_y,tf_z,tf_roll,tf_pitch,tf_yaw): (1.4, 0, 1.415, 0, 0, 0)\r\nparam_callback\r\nndt_res: 1\r\nstep_size: 0.1\r\ntrans_epsilon: 0.01\r\nmax_iter: 100\r\nvoxel_leaf_size: 1\r\nmin_scan_range: 5\r\nmin_add_scan_shift: 1\r\n['rosparam', 'set', '/use_sim_time', 'true']\r\n['rosbag', 'play', '--clock', '/media/kitsukawa/ssd/academy/log/drive/moriyama/20150324.bag']\r\npid=5525\r\nsched policy=OTHER prio=0\r\nError: too many resources requested for launch /home/kitsukawa/Autoware/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/NormalDistributionsTransform.cu 780\r\nError: invalid device pointer /home/kitsukawa/Autoware/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/MatrixDevice.cu 21\r\n[ndt_mapping-2] process has died [pid 5416, exit code 1, cmd /home/kitsukawa/Autoware/ros/devel/lib/ndt_localizer/ndt_mapping __name:=ndt_mapping __log:=/home/kitsukawa/.ros/log/19150b26-eae0-11e7-a35a-d0509946b845/ndt_mapping-2.log].\r\nlog file: /home/kitsukawa/.ros/log/19150b26-eae0-11e7-a35a-d0509946b845/ndt_mapping-2*.log\r\n```""}, {'user_id': 'kitsukawa', 'created_at': '2017-12-27T08:42:04Z', 'comment_text': '@YamatoAndo Can you check the operation on Ubuntu 16.04?'}, {'user_id': 'YamatoAndo', 'created_at': '2017-12-27T08:47:33Z', 'comment_text': '@kitsukawa \r\nI tested on Ubuntu 16.04. \r\nit work longer than before, \r\nbut when I made a map for 200 sec, the program ended with out of memory.\r\n\r\nI did it with the same rosbag (moriyama/20150324.bag).\r\n'}, {'user_id': 'YamatoAndo', 'created_at': '2017-12-27T08:54:33Z', 'comment_text': ""@anhnv3991 This program still falls on the way, but it is much faster than PCL's original.\r\nGood Job!""}, {'user_id': 'anhnv3991', 'created_at': '2017-12-27T14:38:48Z', 'comment_text': ""@kitsukawa your error is different from the one reported in autowarefoundation/autoware_ai#1082, which relates to illegal memory access on the GPU memory. I guess the reason of your error is the kernel at line 780 of the NormalDistributionsTransform.cu requires too many registers per block for launching. Actually I 've never had that error on my pc before, but I'm gonna fix it soon.\r\n\r\n@YamatoAndo can you tell me how many points are there on the loaded map when the program failed?""}, {'user_id': 'YamatoAndo', 'created_at': '2017-12-28T03:43:09Z', 'comment_text': '@anhnv3991 The last message of ndt_mapping is as below :\r\n```\r\n-----------------------------------------------------------------\r\nSequence number: 87147\r\nNumber of scan points: 35510 points.\r\nNumber of filtered scan points: 2135 points.\r\ntransformed_scan_ptr: 35510 points.\r\nmap: 19837423 points.\r\nNDT has converged: 1\r\nFitness score: 13.0525\r\nNumber of iteration: 0\r\n(x,y,z,roll,pitch,yaw):\r\n(134.534, -171.704, -5.41864, -0.02511, -0.00109023, -0.22433)\r\nTransformation Matrix:\r\n0.974943    0.22241 0.00452263    135.713\r\n-0.222453    0.97463  0.0247207   -171.922\r\n0.00109023 -0.0251073   0.999684   -3.41797\r\n0          0          0          1\r\nshift: 1.69948\r\n-----------------------------------------------------------------\r\nError: out of memory /home/yamato_ando/Autoware_fix_ndt_mapping_crash_gpu/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/SymmetricEigenSolver.cu 10\r\nError: invalid device pointer /home/yamato_ando/Autoware_fix_ndt_mapping_crash_gpu/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/MatrixDevice.cu 21\r\n(Processed/Input): (1954 / 2244)\r\n[ndt_mapping-2] process has died [pid 20950, exit code 1, cmd /home/yamato_ando/Autoware_fix_ndt_mapping_crash_gpu/ros/devel/lib/ndt_localizer/ndt_mapping __name:=ndt_mapping __log:=/home/yamato_ando/.ros/log/380a88be-e930-11e7-a196-309c230ebc74/ndt_mapping-2.log].\r\nlog file: /home/yamato_ando/.ros/log/380a88be-e930-11e7-a196-309c230ebc74/ndt_mapping-2*.log\r\n\r\n```\r\n\r\nSo, 19837423 points.'}, {'user_id': 'anhnv3991', 'created_at': '2017-12-28T10:00:25Z', 'comment_text': '@YamatoAndo I see. So your GPU cannot handle around 20 million points.\r\nI am working on a solution for that out of memory problem. By dividing the input point cloud into smaller chunks (around 2 millions points per each) and process them one by one, the out of memory problem can be avoided. However, I am not sure about the accuracy of this implementation method. Though when I ran it on my pc, the output map looks the same as when using CPU, I still need more tests.'}, {'user_id': 'YamatoAndo', 'created_at': '2017-12-28T10:16:17Z', 'comment_text': '@anhnv3991 Sounds good. I am looking forward to your improvement.'}, {'user_id': 'YamatoAndo', 'created_at': '2017-12-29T07:18:34Z', 'comment_text': 'Great!  i will test later'}, {'user_id': 'asimay', 'created_at': '2018-01-05T12:15:59Z', 'comment_text': ""yes. mapping takes too much memory, and can we use 'generator' and write data to tmp files on disk to save memory? ""}, {'user_id': 'anhnv3991', 'created_at': '2018-01-06T14:28:50Z', 'comment_text': '@asimay actually another function called approximate ndt mapping has already solved that problem. It loads a portion of the current map to the main memory instead of all the map. So it consumes less memory than this ndt mapping.'}, {'user_id': 'asimay', 'created_at': '2018-01-08T06:31:24Z', 'comment_text': ""@anhnv3991 ，hi, dear, yes, I test now.  quite faster than NDT_mapping, but still have many problems .\r\nexample:\r\n1.  the topic messages seems always jump back to re-counter again. it seems the messages is lost when handling mapping.\r\n\r\n![image](https://user-images.githubusercontent.com/8703449/34660759-d5ff4dfc-f47f-11e7-9ba1-51b69e675865.png)\r\n\r\n2. the handling speed is still very slow for tolerance though it is faster than NDT_mapping.  and the cpu resources are not good used when handling, some core is 100%, some core is 0%, even start openMP.\r\n\r\n![image](https://user-images.githubusercontent.com/8703449/34661029-bed77526-f481-11e7-8881-1c0769aa441e.png)\r\n\r\n3. during handling process, the map data will lost suddenly and disappear,  and re-produce the map from scratch. this step I tried many times, and almost in every loop will lost data, I think it's easy to re-produce the issue.\r\n\r\n\r\nI think it needs to spend time and spirit to optimize.\r\n  \r\n  ""}, {'user_id': 'asimay', 'created_at': '2018-01-08T06:47:24Z', 'comment_text': '![image](https://user-images.githubusercontent.com/8703449/34661163-c245552e-f482-11e7-91d9-a80fdbb5c37c.png)\r\n\r\nand much warning info in the command window. this warning is same as ndt_mapping.'}, {'user_id': 'kitsukawa', 'created_at': '2018-01-08T11:31:13Z', 'comment_text': ""@asimay \r\n\r\n> during handling process, the map data will lost suddenly and disappear, and re-produce the map from scratch. this step I tried many times, and almost in every loop will lost data, I think it's easy to re-produce the issue.\r\n\r\napproximate_ndt_mapping node outputs PCDs in /home/.ros/ directory every certain distance. So the data is not lost.""}, {'user_id': 'asimay', 'created_at': '2018-01-08T11:56:26Z', 'comment_text': '@kitsukawa , hi, dear, yes, I checked the directory, and find the files.\r\nThanks!\r\nso the disappearance is normal case, right? is it cleaning and releasing the old memory?'}, {'user_id': 'kitsukawa', 'created_at': '2018-01-08T12:02:50Z', 'comment_text': '@asimay The disappearance is normal. It is releasing the old memory.'}, {'user_id': 'munirfarzeen', 'created_at': '2018-02-22T03:46:42Z', 'comment_text': 'hi,\r\nI am getting the same error. I install the develop branch. there is no option of use gpu and fast_PCL.\r\nhow to make changes in master to fix this error?\r\n`Sequence number: 89549\r\nNumber of scan points: 35790 points.\r\nNumber of filtered scan points: 2658 points.\r\ntransformed_scan_ptr: 35790 points.\r\nmap: 15349497 points.\r\nNDT has converged: 1\r\nFitness score: 151.315\r\nNumber of iteration: 0\r\n(x,y,z,roll,pitch,yaw):\r\n(569.592, -28.5685, 21.9983, 0.000545676, -0.115118, -0.0377277)\r\nTransformation Matrix:\r\n0.992674   0.0376561   -0.114803     570.554\r\n-0.0374691    0.999291  0.00378725    -28.6059\r\n0.114864 0.000542064    0.993381     24.1229\r\n0           0           0           1\r\nshift: 0.837143\r\n-----------------------------------------------------------------\r\nError: an illegal memory access was encountered /home/xxxx/Autoware-master/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/NormalDistributionsTransform.cu 929\r\n(Processed/Input): (1096 / 1519)\r\nError: all CUDA-capable devices are busy or unavailable /home/xxxx/Autoware-master/ros/src/computing/perception/localization/lib/fast_pcl/ndt_gpu/src/MatrixDevice.cu 21\r\n[ndt_mapping_omp-2] process has died [pid 35421, exit code 1, cmd /home/xxxx/Autoware-master/ros/devel/lib/ndt_localizer/ndt_mapping_omp __name:=ndt_mapping_omp __log:=/home/xxxxx/.ros/log/9c9d66fe-1787-11e8-897d-7085c25362be/ndt_mapping_omp-2.log].\r\nlog file: /home/xxxxx/.ros/log/9c9d66fe-1787-11e8-897d-7085c25362be/ndt_mapping_omp-2*.log\r\n`'}]"
add new param to change the scan number in tf_mapping.launch,kitsukawa,2017-12-25T13:23:06Z,[]
Avoid returning zero by ros time now,TomohitoAndo,2017-12-25T10:10:15Z,"[{'user_id': 'yk-fujii', 'created_at': '2018-01-15T05:43:09Z', 'comment_text': '@TomohitoAndo \r\nWhy does not it work if it is zero?\r\nIt seems to work if timeout val is not zero.'}, {'user_id': 'gbiggs', 'created_at': '2019-03-15T06:46:47Z', 'comment_text': '@TomohitoAndo Is this PR still valid?'}]"
Feature/occupancygrid filter,TomohitoAndo,2017-12-25T07:37:52Z,"[{'user_id': 'YamatoAndo', 'created_at': '2017-12-25T08:34:14Z', 'comment_text': 'https://github.com/CPFL/Autoware/blob/76f0391847c6e30194333254969fd1ee9999811f/ros/src/computing/perception/semantics/packages/object_map/nodes/wayarea2grid/wayarea2grid.cpp#L9-L10\r\n\r\n\r\nBoth are private nodehandle.\r\n'}, {'user_id': 'amc-nu', 'created_at': '2018-02-03T06:26:34Z', 'comment_text': 'Can you please check these changes @TomohitoAndo ?\r\n\r\nThanks'}, {'user_id': 'TomohitoAndo', 'created_at': '2018-02-07T08:32:51Z', 'comment_text': '@amc-nu looks good to me.'}]"
[Bugfix]  fix previous_gnss_pose does not set when first initial pose,YamatoAndo,2017-12-22T08:40:43Z,[]
[Bugfix] feat_proj does not considered the possibility that the ID of the ADAS map does not start with 1,YamatoAndo,2017-12-22T05:28:05Z,"[{'user_id': 'messi49', 'created_at': '2017-12-26T06:26:32Z', 'comment_text': 'LGTM！'}]"
integration week 2,dejanpan,2017-12-22T03:21:41Z,"[{'user_id': 'dejanpan', 'created_at': '2017-12-25T12:02:38Z', 'comment_text': '@yk-fujii please remove this file:  ros/src/actuation/vehicles/packages/as/nodes/pacmod_interface/.pacmod_interface.cpp.swp'}, {'user_id': 'yk-fujii', 'created_at': '2017-12-27T08:07:38Z', 'comment_text': ""Sorry, I mistaked merge operation... i'll revert""}, {'user_id': 'dejanpan', 'created_at': '2017-12-30T17:16:09Z', 'comment_text': '@yk-fujii just out of curiosity - how did you revert the merge?'}]"
add points_topic in app dialog for points_downsampler,kitsukawa,2017-12-19T04:46:55Z,[]
