users,dis_thread,dis_thread_internal,dis_thread_external,dis_contribution,dis_contribution_internal,dis_contribution_external
mitsudome-r,41,9,35,68,5,63
maxime-clem,16,3,13,83,11,72
xczhanjun,2,0,2,3,0,3
isamu-takagi,7,4,7,26,4,22
g-ise,1,0,1,2,0,2
BonoloAWF,54,6,50,3,0,3
Unknown,40,10,31,31,4,27
Igata-ctrl,80,7,56,6,2,4
xmfcx,35,3,33,91,7,84
LLplane,1,0,1,1,0,1
h-ohta,1,0,1,0,0,0
meliketanrikulu,12,3,12,11,1,10
jason914,3,1,3,4,0,4
WJaworskiRobotec,27,3,21,7,1,6
goktugyildirim,1,1,0,0,0,0
JokerWhy233,1,1,1,0,0,0
JohannesBetz,3,1,2,0,0,0
ambroise-arm,2,2,2,4,1,3
HaoruXue,5,1,3,1,0,1
shmpwk,11,1,11,32,3,29
PengfeiLin0609,1,0,1,1,0,1
soblin,6,3,6,3,0,3
sevocrear,1,0,1,2,0,2
IshitaTakeshi,12,4,9,8,1,7
esteve,2,0,2,3,0,3
kminoda,24,3,22,50,6,44
scepter914,2,1,2,3,1,2
Denri006,2,0,2,3,0,3
armaganarsln,26,1,19,6,2,4
Sharrrrk,4,1,4,12,2,10
crazydude123,1,1,1,3,0,3
storrrrrrrrm,3,2,3,10,3,7
takayuki5168,4,1,3,48,7,41
Mud-B,1,0,1,1,0,1
ajay1606,2,2,2,3,0,3
amtommy,2,0,2,1,0,1
mojomex,2,0,2,0,0,0
brkay54,9,2,7,15,0,15
kenji-miyake,2,1,2,120,10,110
sglee-morai,9,1,7,2,0,2
chris-interplai,2,0,1,1,0,1
waynejstaats,1,0,1,0,0,0
brian841102,6,1,6,5,0,5
08beeqtufail-sudo,1,0,1,1,0,1
anushamandalapu-tomtom,1,0,1,1,0,1
RyuYamamoto,2,0,2,0,0,0
samehmohamed88,1,1,1,1,1,0
raminterpl,2,0,1,1,0,1
FabioSpano,1,1,0,0,0,0
HamburgDave,30,1,24,3,0,3
VRichardJP,21,5,17,28,4,24
mimimidododo,1,1,1,2,0,2
