issues_title,issues_created_at,issues_thread_id,issues_thread_creator,issues_thread_creator_affiliation,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_comment_author_affiliation,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
"Runtime Manager Quick Start tab, fix launch_kill proc for Rviz",2015-12-28T07:49:43Z,124031354,kondoh2,missing,,,,,missing,,,0,1,0,1,9
"Runtime Manager Quick Start tab, fix rviz/cmd.sh",2015-12-28T02:05:55Z,124007263,kondoh2,missing,,,,,missing,,,0,1,0,1,6
Support setting nice value,2015-12-27T07:03:46Z,123958065,syohex,missing,167390376,answered,"Great, thanks!
2015/12/27 12:36 ""Syohei YOSHIDA"" notifications@github.com:

> Merged #187 https://github.com/CPFL/Autoware/pull/187.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/CPFL/Autoware/pull/187#event-500835586.
",shinpei0208,tier4,646,13075,1,3,0,3,72
"Runtime Manager Quick Start tab, Rviz remote",2015-12-25T08:57:35Z,123866133,kondoh2,missing,,,,,missing,,,0,2,0,3,68
Improve handling junction lane,2015-12-25T04:31:42Z,123851869,syouji,missing,,,,,missing,,,0,1,0,1,4
Update AutowareRoute,2015-12-24T11:25:23Z,123793481,syouji,missing,,,,,missing,,,0,1,0,1,0
Don't use absolute path,2015-12-24T10:21:34Z,123786670,syohex,missing,,,,,missing,,,0,1,0,4,14
Implement process manager,2015-12-24T10:17:20Z,123770192,syohex,missing,167084648,questioned,"NOTE: You need to input password when you execute `ros/run` script.

今後 `ros/run`を実行する際にパスワードを入力する必要があります.
問題がありましたらお知らせください.
",syohex,missing,10112,10191,1,2,0,3,193
Update ndt matching,2015-12-24T07:26:59Z,123770148,kitsukawa,map4,,,,,missing,,,0,2,0,3,203
Apply bashrc pull requests,2015-12-23T06:54:05Z,123610651,syohex,missing,,,,,missing,,,0,4,0,2,32
Develop waypoint loader,2015-12-22T08:21:05Z,123437125,h-ohta,tier4,,,,,missing,,,0,2,0,1,48
Fix waypoint maker,2015-12-22T07:18:35Z,123429609,h-ohta,tier4,,,,,missing,,,0,2,0,3,6
Parse old CSV format,2015-12-22T05:39:09Z,123415320,syouji,missing,166515218,questioned,"@h-ohta 現状公開している waypoint_loader用の CSVファイルは、yaw角のカラムを含まないため、ロードすると SEGV が発生しておりました。一時的な対応になるかもしれませんが、古いフォーマットも読めるように修正いたしました。
",syouji,missing,261,584,2,1,0,1,69
Parse old CSV format,2015-12-22T07:05:01Z,123415320,syouji,missing,166534490,answered,"@syouji 動作確認が出来ました。実装もこれで問題ないと思います。お手数おかけして申し訳ありませんでした。ありがとうございました。
",h-ohta,tier4,261,584,2,1,0,1,69
Avoid forced termination,2015-12-18T12:47:46Z,122943072,TomohitoAndo,tier4,,,,,missing,,,0,1,0,1,7
Add udon_socket package,2015-12-18T11:19:42Z,122930546,syouji,missing,,,,,missing,,,0,1,0,6,701
Fix lane planner,2015-12-18T10:43:18Z,122925248,h-ohta,tier4,,,,,missing,,,0,2,0,2,24
Mod tlr,2015-12-18T08:10:28Z,122901982,manato,tier4,165710482,questioned,"Please notify me if problems happen by this PR
",manato,tier4,52,46,1,2,0,3,23
Make the run command more agnostic to different terminals,2015-12-23T07:12:49Z,122746609,ghost,missing,166818390,answered,"Thanks for PR. I have merged your commit at #180.
",syohex,missing,491668,491668,1,1,0,1,31
Some suggested hardware requirements,2015-12-23T07:12:25Z,122719848,ghost,missing,166818237,answered,"Thanks for PR. I have merged your commit at #180.
",syohex,missing,501957,501957,1,1,0,1,3
