users,thread,thread_internal,thread_external,contribution,contribution_internal,contribution_external,GiverInd
mitsudome-r,41,7,11,112,9,103,0.648995397
maxime-clem,16,2,13,101,14,87,0.475078377
xczhanjun,2,0,2,3,0,3,0.5
isamu-takagi,7,3,7,26,3,23,0.456356749
g-ise,1,0,0,2,0,2,0.369070246
BonoloAWF,54,5,31,11,0,11,1.340977743
Unknown,40,5,20,30,7,23,0.88658526
Igata-ctrl,80,0,3,6,2,4,1.908398529
xmfcx,35,4,22,83,7,76,0.658517575
LLplane,1,0,1,1,0,1,0.584962501
h-ohta,1,0,1,0,0,0,#DIV/0!
meliketanrikulu,12,3,11,15,3,12,0.701838731
jason914,3,1,3,3,0,3,0.660964047
WJaworskiRobotec,27,1,2,4,0,4,1.661541976
goktugyildirim,1,0,0,0,0,0,#DIV/0!
JokerWhy233,1,1,1,0,0,0,#DIV/0!
JohannesBetz,3,0,0,0,0,0,#DIV/0!
ambroise-arm,2,0,2,8,0,8,0.315464877
HaoruXue,5,1,2,3,0,3,0.903677461
shmpwk,11,1,11,43,7,36,0.49463752
PengfeiLin0609,1,0,1,1,0,1,0.584962501
soblin,6,3,6,3,0,3,1
sevocrear,1,0,1,1,0,1,0.584962501
IshitaTakeshi,12,3,10,7,1,6,0.935784974
esteve,2,0,2,13,1,12,0.262649535
kminoda,24,4,20,56,5,51,0.634409308
scepter914,2,1,2,4,2,2,0.430676558
Denri006,2,0,2,2,0,2,0.630929754
armaganarsln,26,1,4,12,3,9,1.028892567
Sharrrrk,4,1,4,15,2,13,0.396240625
crazydude123,1,1,1,1,0,1,0.584962501
storrrrrrrrm,3,2,3,6,2,4,0.470880288
takayuki5168,4,1,3,55,7,48,0.272923305
Mud-B,1,0,1,1,0,1,0.584962501
ajay1606,2,1,2,3,0,3,0.5
amtommy,2,1,2,2,1,1,0.630929754
mojomex,2,0,2,1,0,1,1
brkay54,9,2,8,19,0,19,0.569058893
kenji-miyake,2,0,2,98,11,87,0.150844201
sglee-morai,9,0,1,3,1,2,1.229715809
chris-interplai,2,0,2,1,0,1,1
waynejstaats,1,0,0,0,0,0,#DIV/0!
brian841102,6,2,6,6,1,5,0.712414374
08beeqtufail-sudo,1,0,1,1,0,1,0.584962501
anushamandalapu-tomtom,1,0,1,1,0,1,0.584962501
RyuYamamoto,2,0,2,3,0,3,0.5
samehmohamed88,1,1,1,2,2,0,0.369070246
raminterpl,2,1,2,4,1,3,0.430676558
FabioSpano,1,1,0,0,0,0,#DIV/0!
HamburgDave,30,0,7,4,0,4,1.722706232
VRichardJP,21,2,14,32,4,28,0.69851044
mimimidododo,1,1,1,1,0,1,0.584962501
NorahXiong,4,0,4,5,0,5,0.613147193
angry-crab,3,1,3,15,2,13,0.330482024
mertyavuz41,3,0,3,4,0,4,0.569323442
YamatoAndo,2,1,2,23,5,18,0.218104292
takam5f2,1,0,0,3,0,3,0.29248125
hatem-darweesh,3,0,3,9,1,8,0.397940009
plane-li,1,0,1,3,0,3,0.29248125
koraykoca,3,0,2,2,0,2,0.834043767
CagriCatik,1,0,1,3,0,3,0.29248125
mehmetdogru,14,3,14,23,5,18,0.654312876
TomoyukiaW,1,0,1,1,0,1,0.584962501
andrejpadilha2,1,0,0,1,0,1,0.584962501
doganulus,2,0,0,16,3,13,0.244650542
alanmengg,1,0,0,0,0,0,#DIV/0!
Zeysthingz,2,0,2,4,0,4,0.430676558
bariskapaligoz,1,0,1,1,0,1,0.584962501
QZJGeorge,10,1,3,1,1,0,2.584962501
kielczykowski-rai,1,1,0,0,0,0,#DIV/0!
