consumer,contributor,consumption
kondoh2,syohex,2
kondoh2,syouji,1
kondoh2,yk-fujii,1
kondoh2,shinpei0208,1
syohex,syouji,1
syohex,kitsukawa,1
syohex,h-ohta,1
syohex,TomohitoAndo,1
syohex,manato,1
syohex,amc-nu,2
syohex,kuriking,1
syohex,yukkysaito,1
syohex,pdsljp,1
syohex,shinpei0208,2
syohex,beetleskin,1
syohex,badguy07,1
syouji,h-ohta,1
kitsukawa,syohex,4
kitsukawa,amc-nu,3
kitsukawa,dejanpan,5
kitsukawa,asimay,1
kitsukawa,aohsato,1
kitsukawa,daifuku07,1
kitsukawa,shinpei0208,1
kitsukawa,gbiggs,1
kitsukawa,HongweiSunny,1
kitsukawa,DeniseJames,1
kitsukawa,weisongwen,1
h-ohta,syohex,1
h-ohta,syouji,2
h-ohta,manato,2
h-ohta,kuriking,1
h-ohta,sujiwo,1
h-ohta,kenji-miyake,2
TomohitoAndo,syohex,2
TomohitoAndo,amc-nu,1
TomohitoAndo,yk-fujii,3
TomohitoAndo,YamatoAndo,1
TomohitoAndo,dejanpan,1
TomohitoAndo,shinpei0208,1
TomohitoAndo,gbiggs,1
manato,syohex,4
manato,kitsukawa,1
manato,amc-nu,1
manato,yk-fujii,4
manato,shinpei0208,1
ghost,syohex,3
ghost,amc-nu,1
ghost,yukkysaito,1
ghost,YamatoAndo,1
ghost,aohsato,1
ghost,eratostennis,1
ghost,gbiggs,1
amc-nu,syohex,6
amc-nu,kitsukawa,3
amc-nu,manato,2
amc-nu,yk-fujii,6
amc-nu,dejanpan,11
amc-nu,alexandrx,1
amc-nu,hakuturu583,1
amc-nu,aohsato,2
amc-nu,shinpei0208,2
amc-nu,kfunaoka,7
amc-nu,esteve,6
amc-nu,k0suke-murakami,3
amc-nu,sgermanserrano,5
amc-nu,JWhitleyWork,2
amc-nu,gbiggs,2
amc-nu,droneboxid,1
amc-nu,Mor-harry,1
amc-nu,tekrajchhetri,1
KenYN,syohex,3
KenYN,manato,2
KenYN,kuriking,1
KenYN,shinpei0208,1
kuriking,yukkysaito,1
kuriking,shinpei0208,1
yukkysaito,syohex,2
yukkysaito,amc-nu,3
yukkysaito,dejanpan,1
yukkysaito,aohsato,1
yukkysaito,yukitsuji,1
yukkysaito,esteve,1
yukkysaito,sgermanserrano,3
yukkysaito,gbiggs,1
yukkysaito,isamu-takagi,1
travelbureau,syohex,1
travelbureau,h-ohta,1
pdsljp,syohex,1
pdsljp,h-ohta,2
pdsljp,amc-nu,1
pdsljp,shinpei0208,1
garaemon,kuriking,1
tushar-dadlani,yukkysaito,1
messi49,yk-fujii,1
messi49,aohsato,2
sujiwo,kitsukawa,3
sujiwo,dejanpan,2
sujiwo,asimay,1
sujiwo,hakuturu583,1
sujiwo,gbiggs,3
mingrutar,h-ohta,1
mingrutar,kuriking,1
droter,messi49,1
droter,shinpei0208,1
hatem-darweesh,kitsukawa,1
hatem-darweesh,h-ohta,1
hatem-darweesh,amc-nu,2
hatem-darweesh,yk-fujii,3
hatem-darweesh,dejanpan,2
hatem-darweesh,shinpei0208,1
hatem-darweesh,kfunaoka,1
hatem-darweesh,esteve,1
jitrc,syohex,1
jitrc,kitsukawa,1
jitrc,h-ohta,1
yk-fujii,kitsukawa,1
yk-fujii,amc-nu,2
yk-fujii,messi49,1
yk-fujii,YamatoAndo,1
yk-fujii,dejanpan,8
yk-fujii,asimay,2
yk-fujii,aohsato,1
yk-fujii,shinpei0208,2
yk-fujii,k0suke-murakami,1
yk-fujii,gbiggs,2
yk-fujii,czluck,1
yk-fujii,wsung1,1
anhnv3991,kitsukawa,1
anhnv3991,yk-fujii,2
anhnv3991,YamatoAndo,2
anhnv3991,dejanpan,1
anhnv3991,asimay,1
anhnv3991,munirfarzeen,1
YamatoAndo,kitsukawa,1
YamatoAndo,amc-nu,2
YamatoAndo,yukkysaito,1
YamatoAndo,messi49,1
YamatoAndo,yk-fujii,4
YamatoAndo,dejanpan,2
YamatoAndo,asimay,1
YamatoAndo,aohsato,1
YamatoAndo,daifuku07,1
YamatoAndo,gbiggs,4
YamatoAndo,hunkyu,1
YamatoAndo,javcursor,1
dejanpan,amc-nu,3
dejanpan,yk-fujii,4
dejanpan,YamatoAndo,1
dejanpan,sumanth-nirmal,1
alexandrx,amc-nu,5
alexandrx,yukkysaito,3
alexandrx,dejanpan,1
alexandrx,aohsato,1
alexandrx,esteve,1
alexandrx,sgermanserrano,1
alexandrx,gbiggs,14
yn-mrse,yk-fujii,1
yn-mrse,dejanpan,1
yn-mrse,hakuturu583,1
yn-mrse,aohsato,2
yn-mrse,andoh104,1
yn-mrse,gbiggs,2
yn-mrse,hadiTab,1
christopherho-ApexAI,amc-nu,1
christopherho-ApexAI,dejanpan,2
hiro-ya-iv,yk-fujii,1
hiro-ya-iv,dejanpan,3
hiro-ya-iv,shinpei0208,1
asimay,yk-fujii,2
asimay,dejanpan,1
130s,amc-nu,1
130s,yk-fujii,1
130s,dejanpan,1
hakuturu583,amc-nu,3
hakuturu583,yukkysaito,1
hakuturu583,yk-fujii,1
hakuturu583,YamatoAndo,1
hakuturu583,dejanpan,2
hakuturu583,yn-mrse,1
hakuturu583,mitsudome-r,1
hakuturu583,k0suke-murakami,1
hakuturu583,sgermanserrano,4
hakuturu583,gbiggs,8
hakuturu583,wep21,1
aohsato,kitsukawa,1
aohsato,amc-nu,8
aohsato,kuriking,1
aohsato,messi49,1
aohsato,yk-fujii,4
aohsato,YamatoAndo,1
aohsato,dejanpan,6
aohsato,yn-mrse,1
aohsato,hakuturu583,1
aohsato,kfunaoka,3
aohsato,esteve,1
aohsato,sgermanserrano,3
aohsato,JWhitleyWork,1
aohsato,gbiggs,5
aohsato,wep21,1
aohsato,hamkuchan,1
aohsato,kennedywai,1
andoh104,kitsukawa,3
andoh104,amc-nu,1
andoh104,yk-fujii,3
andoh104,dejanpan,2
andoh104,yn-mrse,1
andoh104,gbiggs,2
annaborn,amc-nu,1
annaborn,yk-fujii,1
annaborn,dejanpan,2
annaborn,gbiggs,1
geogrewang,yukkysaito,1
geogrewang,dejanpan,1
huiyi1990,yk-fujii,3
ChenxiTU,kitsukawa,2
ChenxiTU,amc-nu,2
ChenxiTU,dejanpan,1
ChenxiTU,shinpei0208,1
ChenxiTU,kfunaoka,1
ChenxiTU,mitsudome-r,1
ChenxiTU,sgermanserrano,1
ChenxiTU,isamu-takagi,1
ckirksey3,h-ohta,1
ckirksey3,yk-fujii,2
yukitsuji,yk-fujii,1
daifuku07,gbiggs,1
n-patiphon,amc-nu,1
n-patiphon,dejanpan,1
n-patiphon,kargarisaac,1
shinpei0208,yk-fujii,1
shinpei0208,asimay,1
320835,207,1
ompugao,amc-nu,1
ompugao,yk-fujii,2
MasatoTange,syouji,1
LukeAI,sgermanserrano,1
LukeAI,gbiggs,1
kfunaoka,amc-nu,7
kfunaoka,yn-mrse,1
kfunaoka,aohsato,1
kfunaoka,esteve,6
kfunaoka,k0suke-murakami,1
kfunaoka,sgermanserrano,4
kfunaoka,JWhitleyWork,1
kfunaoka,gbiggs,9
kfunaoka,bdholt1,2
mitsudome-r,amc-nu,1
mitsudome-r,yukkysaito,1
mitsudome-r,YamatoAndo,1
mitsudome-r,gbiggs,1
mitsudome-r,kenji-miyake,1
mitsudome-r,xmfcx,2
TheodoreRTG,sgermanserrano,1
esteve,kitsukawa,1
esteve,amc-nu,8
esteve,yukkysaito,1
esteve,hatem-darweesh,2
esteve,yk-fujii,1
esteve,dejanpan,1
esteve,kfunaoka,19
esteve,mitsudome-r,3
esteve,sgermanserrano,2
esteve,JWhitleyWork,3
esteve,gbiggs,7
esteve,isamu-takagi,1
esteve,kenji-miyake,2
esteve,kaspermeck-arm,1
esteve,xmfcx,4
esteve,Sharrrrk,1
esteve,lexavtanke,1
esteve,HEGALLIS,1
esteve,bdholt1,4
esteve,vtbassmatt,1
esteve,asimonov-hitachi,1
esteve,MTDzi,1
esteve,maximus5684,1
esteve,jspricke,1
moelang,gbiggs,1
k0suke-murakami,amc-nu,6
k0suke-murakami,yukkysaito,1
k0suke-murakami,yk-fujii,1
k0suke-murakami,hakuturu583,1
k0suke-murakami,aohsato,3
k0suke-murakami,kfunaoka,5
k0suke-murakami,sgermanserrano,1
k0suke-murakami,gbiggs,4
k0suke-murakami,kargarisaac,1
k0suke-murakami,hamkuchan,1
sgermanserrano,amc-nu,8
sgermanserrano,yukkysaito,1
sgermanserrano,yk-fujii,2
sgermanserrano,hakuturu583,2
sgermanserrano,aohsato,2
sgermanserrano,kfunaoka,6
sgermanserrano,esteve,4
sgermanserrano,k0suke-murakami,1
sgermanserrano,s-azumi,1
sgermanserrano,gbiggs,4
sgermanserrano,maximosipov,2
sgermanserrano,HEGALLIS,2
sgermanserrano,lanhaigit,1
sgermanserrano,icolwell,1
harderthan,esteve,1
MarcoCecotti,gbiggs,1
jacoblambert,amc-nu,2
haoliliang,jacoblambert,1
drwnz,amc-nu,1
drwnz,gbiggs,1
drwnz,kargarisaac,1
saihideyasu,JWhitleyWork,1
saihideyasu,gbiggs,1
s-azumi,yk-fujii,2
s-azumi,dejanpan,1
s-azumi,yn-mrse,1
s-azumi,hakuturu583,1
s-azumi,kfunaoka,3
s-azumi,mitsudome-r,4
s-azumi,sgermanserrano,3
s-azumi,gbiggs,7
Tpsych,amc-nu,1
Tpsych,mouryaraj,1
aicarmark,gbiggs,1
LukePhairatt,dejanpan,1
LukePhairatt,esteve,1
LukePhairatt,gbiggs,1
LukePhairatt,bdholt1,1
LukePhairatt,allenchen8210,1
Squigglywave,amc-nu,1
Squigglywave,yk-fujii,1
Squigglywave,gbiggs,1
Squigglywave,T-Shota,1
Squigglywave,sousou1,1
Squigglywave,rorypeck,1
alexampa,kitsukawa,1
alexampa,amc-nu,1
alexampa,kfunaoka,1
alexampa,gbiggs,1
masa1228masa,kitsukawa,1
Mani-Sadhasivam,manato,1
Mani-Sadhasivam,amc-nu,1
Mani-Sadhasivam,yk-fujii,1
sumanth-nirmal,amc-nu,2
sumanth-nirmal,dejanpan,5
francisvac,yk-fujii,1
eratostennis,messi49,1
koenlek,amc-nu,1
koenlek,esteve,1
koenlek,bdholt1,1
koenlek,jokla,1
huckl3b3rry87,amc-nu,2
huckl3b3rry87,dejanpan,1
huckl3b3rry87,gbiggs,1
italojs,gbiggs,1
JWhitleyWork,amc-nu,3
JWhitleyWork,sgermanserrano,2
JWhitleyWork,gbiggs,3
gbiggs,JWhitleyWork,2
gbiggs,TakaHoribe,1
TakaHoribe,amc-nu,2
TakaHoribe,yukkysaito,1
TakaHoribe,sgermanserrano,3
TakaHoribe,gbiggs,3
TakaHoribe,hunkyu,1
sgvandijk,hatem-darweesh,1
sgvandijk,gbiggs,1
isamu-takagi,amc-nu,1
isamu-takagi,yukkysaito,2
isamu-takagi,hakuturu583,1
isamu-takagi,kfunaoka,2
isamu-takagi,mitsudome-r,2
isamu-takagi,sgermanserrano,1
isamu-takagi,gbiggs,2
isamu-takagi,kenji-miyake,1
isamu-takagi,tkhmy,2
isamu-takagi,xmfcx,2
isamu-takagi,yabuta,1
wep21,amc-nu,2
wep21,yukkysaito,1
wep21,kfunaoka,1
wep21,gbiggs,1
wep21,kenji-miyake,9
wep21,yukke42,1
wep21,xmfcx,2
wep21,ubercool2,1
wep21,stale[bot],1
0xd1ma,gbiggs,1
snehagn,aohsato,1
snehagn,kfunaoka,1
EfimiaPanagiotaki-StreetDrone,esteve,2
EfimiaPanagiotaki-StreetDrone,sgermanserrano,1
EfimiaPanagiotaki-StreetDrone,gbiggs,2
purewater0901,gbiggs,1
maximosipov,gbiggs,1
filiperinaldi,sgermanserrano,1
filiperinaldi,MouriNaruto,1
AbangLZU,yukkysaito,1
AbangLZU,lucasjinreal,1
AbangLZU,14212094,1
AbangLZU,zzhh00,1
kenji-miyake,ghost,1
kenji-miyake,yukkysaito,2
kenji-miyake,hakuturu583,1
kenji-miyake,mitsudome-r,2
kenji-miyake,esteve,3
kenji-miyake,isamu-takagi,1
kenji-miyake,wep21,1
kenji-miyake,filiperinaldi,1
kenji-miyake,xmfcx,6
kenji-miyake,xczhanjun,1
kenji-miyake,oguzkaganozt,1
kenji-miyake,0x126,1
kenji-miyake,stale[bot],3
anilbommareddy,kenji-miyake,1
anilbommareddy,shmpwk,1
anilbommareddy,patelabhay-12,1
kaspermeck-arm,ghost,1
kaspermeck-arm,kenji-miyake,1
pre-commit-ci[bot],kenji-miyake,2
pre-commit-ci[bot],xmfcx,1
shmpwk,kenji-miyake,5
shmpwk,xmfcx,1
cjffly,isamu-takagi,1
cjffly,kenji-miyake,1
cjffly,xmfcx,1
cjffly,taikitanaka3,1
cjffly,kyoichi-sugahara,1
cjffly,isouf,1
cjffly,AhmadAmine998,1
awf-autoware-bot[bot],kenji-miyake,2
awf-autoware-bot[bot],xmfcx,2
TZECHIN6,xmfcx,1
TZECHIN6,BonoloAWF,1
tkhmy,isamu-takagi,1
angry-crab,kenji-miyake,1
angry-crab,ambroise-arm,1
angry-crab,IshitaTakeshi,1
pjj707278870,kenji-miyake,1
yukke42,kenji-miyake,4
yukke42,angry-crab,1
yukke42,xmfcx,1
yukke42,VRichardJP,1
yukke42,LevieSun,1
yukke42,may012345,1
mehmetdogru,taikitanaka3,1
maxime-clem,kenji-miyake,1
YoshiRi,kenji-miyake,1
urbansound8K,mitsudome-r,1
urbansound8K,xmfcx,1
dependabot[bot],kenji-miyake,1
xmfcx,ghost,1
xmfcx,yukkysaito,1
xmfcx,mitsudome-r,2
xmfcx,esteve,3
xmfcx,TakaHoribe,1
xmfcx,kenji-miyake,5
xmfcx,shmpwk,1
xmfcx,oguzkaganozt,2
xmfcx,VRichardJP,1
xmfcx,doganulus,1
aaryanmurgunde,kenji-miyake,1
Sharrrrk,kenji-miyake,3
Sharrrrk,kaspermeck-arm,1
Sharrrrk,xmfcx,2
Sharrrrk,BonoloAWF,1
Sharrrrk,doganulus,1
Sharrrrk,liuXinGangChina,1
Croquembouche,maxime-clem,1
Croquembouche,msanchezvicom,1
Croquembouche,jfkkf123,1
Soohyeok-Park,xmfcx,1
ambroise-arm,kenji-miyake,1
ambroise-arm,xmfcx,1
plane-li,Sharrrrk,1
plane-li,JianKangEgon,1
plane-li,cyn-liu,1
plane-li,beginningfan,1
brkay54,kenji-miyake,1
mengmenghu-Alex,shmpwk,1
xczhanjun,kenji-miyake,2
xczhanjun,yukke42,1
IshitaTakeshi,wep21,1
IshitaTakeshi,kenji-miyake,4
IshitaTakeshi,xczhanjun,1
oguzkaganozt,mitsudome-r,1
HansRobo,xmfcx,3
lexavtanke,esteve,2
lexavtanke,KYabuuchi,1
AmirInt,xmfcx,1
badai-nguyen,esteve,1
felixf4xu,xmfcx,1
felixf4xu,SakodaShintaro,1
DeeKayG,xmfcx,1
J-xinyu,angry-crab,1
J-xinyu,maxime-clem,1
J-xinyu,cho-jang-hyun,1
VRichardJP,mitsudome-r,1
VRichardJP,TakaHoribe,1
VRichardJP,kenji-miyake,3
VRichardJP,ambroise-arm,1
VRichardJP,simon-t4,1
VRichardJP,mdabir1203,1
RonaldEnsing,maxime-clem,1
RonaldEnsing,jyh3690,1
RonaldEnsing,guchangjun,1
Tester2009,mitsudome-r,1
taikitanaka3,yukkysaito,1
lymcs,xmfcx,2
lymcs,tl230419,1
sykwer,kenji-miyake,1
sykwer,xmfcx,2
kazuki0824,HansRobo,1
caiyuexiang,kenji-miyake,1
rsasaki0109,yukkysaito,1
rsasaki0109,kminoda,1
