issues_title,issues_created_at,issues_thread_id,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
Fix camera_ids.,2017-01-13T16:38:54Z,197484538,272483680,answered,@kuriking Thank you for fix. I checked this commit.,yukkysaito,1762419.0,1693209.0,1,1,0,1,2
Hotfix/javad navsat driver,2016-12-22T04:25:03Z,197092019,,,,h-ohta,,,0,2,0,1,2
Defaults for unset CUDA_CAPABILITY_VERSION,2016-12-18T05:50:24Z,196259388,267804927,questioned,"@tushar-dadlani 
Thank you for making PR(#536).
As simple fixing is needed for your modification, I decided to merge your suggestion by this PR(#549) which is added fixing.
Thank you very much again for pointing out the problem!",manato,503.0,495.0,1,1,0,1,2
Fixed a bug. It caused by reference to out of image size,2016-12-16T11:45:31Z,196041684,,,,yukkysaito,,,0,2,0,1,4
Fixed a bug. It caused by reference to out of image size,2016-12-16T11:07:46Z,196035054,,,,yukkysaito,,,0,1,0,1,1
ndt_matching using local_transform,2019-03-15T06:35:49Z,195517937,473175161,answered,"HI,I wonder what the mean of local_transform is.Could you please simply explain it?
Thx in advance.",HongweiSunny,7.0,70913394.0,2,2,0,2,271
ndt_matching using local_transform,2019-03-18T00:15:15Z,195517937,473730462,answered,"Thanks for using Autoware and for your question. However the issue tracker is for posting confirmed bugs and feature requests.

We ask that you please ask questions on the [Autoware Discourse category](https://discourse.ros.org/c/autoware) following our support guidelines: https://github.com/CPFL/Autoware/wiki/Support-guidelines. Please pay particular attention to the information we ask you to provide.",gbiggs,7.0,70913394.0,2,2,0,2,271
Add an instruction video of astar_navi,2016-12-14T07:44:11Z,195461644,,,,TomohitoAndo,,,0,1,0,1,3
Add dialog,2016-12-13T10:09:45Z,195210924,,,,TomohitoAndo,,,0,2,0,3,26
Update default.rviz,2016-12-13T09:12:11Z,195198252,,,,TomohitoAndo,,,0,1,0,1,76
Fix .gitignore in each packages,2016-12-09T11:01:10Z,194568667,265988331,questioned,@amc-nu @sujiwo Could you check this PR? Thank you.,h-ohta,101725.0,41.0,4,1,0,2,7
Fix .gitignore in each packages,2016-12-10T14:56:34Z,194568667,266214202,questioned,"@amc-nu Thanks!
@sujiwo How about you?",h-ohta,101725.0,41.0,4,1,0,2,7
Fix .gitignore in each packages,2016-12-10T15:02:42Z,194568667,266214529,answered,I think they are fine.,sujiwo,101725.0,41.0,4,1,0,2,7
Fix .gitignore in each packages,2016-12-10T15:15:51Z,194568667,266215206,questioned,@sujiwo  Thank you. I'll merge,h-ohta,101725.0,41.0,4,1,0,2,7
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-08T15:36:31Z,194366857,265770085,questioned,@manato Could you check this PR? thank you.,h-ohta,168608.0,17.0,4,1,0,2,8
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-10T14:26:16Z,194366857,266212341,answered,"@h-ohta 
Thank you for fixing!
Sorry for my carelessness...",manato,168608.0,17.0,4,1,0,2,8
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-10T14:28:41Z,194366857,266212503,answered,"@h-ohta 
I merged `fix-dependency` branch into master.
Please delete the branch if it is no need anymore.",manato,168608.0,17.0,4,1,0,2,8
"Fix dependency in ""fusion"" and ""integrated_viewer"" package",2016-12-10T14:57:15Z,194366857,266214249,questioned,@manato Thank you for your cooperation!,h-ohta,168608.0,17.0,4,1,0,2,8
