issues_title,issues_created_at,issues_thread_id,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
Fix README.md image,2019-06-24T14:20:12Z,459919864,,,,abilbaotm,,,0,1,0,2,2
"Removed the ""function"" key-words",2019-06-16T23:51:19Z,456552727,502496070.0,reply,"Please make this an MR against the new repository location.

https://gitlab.com/autowarefoundation/autoware.ai/autoware/",gbiggs,113421.0,113421.0,3,1,0,1,4
"Removed the ""function"" key-words",2019-06-18T23:54:05Z,456552727,503353552.0,comment,"ok I will do it, but this repository will not be updated? @gbiggs ",italojs,113421.0,113421.0,3,1,0,1,4
"Removed the ""function"" key-words",2019-06-19T00:01:41Z,456552727,503355057.0,reply,This repository will be made an automatic mirror of the GitLab repository soon.,gbiggs,113421.0,113421.0,3,1,0,1,4
lane_select: parameterize minimum_dt,2019-06-06T22:54:29Z,452882748,499697314.0,reply,Please make this as an MR against the [GitLab repository](https://gitlab.com/autowarefoundation/autoware.ai/). Please make it against the correct repository for the affected package. This repository will soon be reduced to just a mirror.,gbiggs,54020.0,54020.0,1,1,0,4,30
Feature/costmap generator improve runtimemanager ui,2019-06-06T22:53:28Z,452782912,499697088.0,reply,Please make this as an MR against the [GitLab repository](https://gitlab.com/autowarefoundation/autoware.ai/). Please make it against the correct repository for the affected package. This repository will soon be reduced to just a mirror.,gbiggs,78733.0,78733.0,1,2,0,2,24
Fix Autoware Docker Builds - Add Melodic Builds,2019-06-04T23:59:25Z,452193309,498886578.0,reply,@JWhitleyAStuff Can I get you to make this as an MR on the [GitLab repository](https://gitlab.com/autowarefoundation/autoware.ai/autoware/) instead? I'm trying to finalise the transition over the next couple of weeks and so need to have minimal activity at GitHub. Sorry for the inconvenience.,gbiggs,12502.0,12502.0,2,5,0,7,301
Fix Autoware Docker Builds - Add Melodic Builds,2019-06-05T14:52:07Z,452193309,499117428.0,comment,"Thanks, @gbiggs. Moved to https://gitlab.com/autowarefoundation/autoware.ai/autoware/merge_requests/2",JWhitleyWork,12502.0,12502.0,2,5,0,7,301
Re-updating citysim ref.,2019-05-31T02:38:31Z,450588299,,,,JWhitleyWork,,,0,1,0,1,2
Melodic fixes,2019-05-31T00:32:13Z,450563408,,,,amc-nu,,,0,42,0,0,0
melodic master conflicts solved,2019-05-30T16:02:35Z,450381217,,,,amc-nu,,,0,41,0,9,64
Fix new conflicts master/melodic,2019-05-30T15:46:38Z,450373864,,,,amc-nu,,,0,40,0,36,1776
Melodic branch catch up with master,2019-05-30T10:19:03Z,450234723,,,,amc-nu,,,0,75,0,29,1716
Remove deleted packages from quickstart,2019-05-29T10:04:43Z,449715128,,,,pronif,,,0,1,0,1,25
add install to the resources and plugin.xml,2019-05-30T01:38:45Z,449589274,497168328.0,reply,"Cross build failed in the CI due to the missing ymc binary, but the normal build worked so I will merge this.",gbiggs,77093.0,77094.0,1,2,0,1,8
Fix Melodic Builds (All of Them),2019-05-28T18:13:52Z,449407607,496629165.0,comment,"@amc-nu / @sgermanserrano - Could you possibly run Gitlab CI on this branch or merge if you think it looks good and let it build on #2032? All CI builds now complete correctly on my local machine with `gitlab-runner` so I would hope that they would on Gitlab as well.

**Edit**: Nevermind on kicking off CI on Gitlab. I see that it's automatic now.",JWhitleyWork,25166.0,115.0,1,4,0,3,13
Remove lgsvl_msgs submodule (Fixes #2157),2019-05-27T01:32:26Z,448630782,,,,gbiggs,,,0,1,0,2,4
Remove ds4 submodule,2019-05-27T01:29:48Z,448630392,,,,gbiggs,,,0,1,0,2,4
Remove ds4 submodule,2019-05-27T01:26:21Z,448629931,,,,gbiggs,,,0,1,0,2,4
Remove citysim submodule (Fixes #2156),2019-05-27T01:25:57Z,448629873,,,,gbiggs,,,0,1,0,2,4
Remove car_demo submodule (Fixes #2160),2019-05-27T01:25:36Z,448629823,,,,gbiggs,,,0,1,0,2,4
Remove robosense submodule (Fixes #2159),2019-05-27T01:25:00Z,448629740,,,,gbiggs,,,0,1,0,2,5
Remove ouster submodule (Fixes #2158),2019-05-27T01:24:11Z,448629631,,,,gbiggs,,,0,1,0,2,5
fix typo in lidar_fake_perception.launch,2019-05-24T09:06:27Z,447992611,495533490.0,reply,See also #2276 ,gbiggs,32059690.0,11231.0,2,3,0,1,2
fix typo in lidar_fake_perception.launch,2019-05-24T09:08:06Z,447992611,495533999.0,comment,Didn't notice there was a duplicate. Thank you @gbiggs!,mitsudome-r,32059690.0,11231.0,2,3,0,1,2
Fix launch param name publish_objects in lidar_fake_perception.launch,2019-05-24T09:06:57Z,447980347,495533646.0,reply,"Closed in favour of #2277, which has a better PR description.",gbiggs,14599.0,14599.0,1,1,0,1,2
Fix Melodic Cross-Build,2019-05-23T20:57:07Z,447869148,495382323.0,comment,"@gbiggs / @sgermanserrano - In order for `build_melodic_cross` to build correctly, someone will need to generate the Docker image using this branch and upload it to Docker Hub.",JWhitleyWork,39100.0,109.0,2,6,0,6,229
Fix Melodic Cross-Build,2019-05-24T07:44:13Z,447869148,495507906.0,reply,"@JWhitleyAStuff @gbiggs I'm on it, I'll kick off the gitlab pipeline a soon as I get the image",sgermanserrano,39100.0,109.0,2,6,0,6,229
Fix Melodic CI,2019-05-23T08:11:42Z,447509739,,,,sgermanserrano,,,0,4,0,2,11
Feature/melodic rebase again,2019-05-22T23:44:41Z,447387358,495014681.0,comment,@amc-nu - Please review. I'm still working on getting the cross-builds working (lots of hang-ups) but should be done within the next few days.,JWhitleyWork,14467.0,416.0,5,88,0,15,219
Feature/melodic rebase again,2019-05-22T23:46:09Z,447387358,495014938.0,reply,"@JWhitleyAStuff thanks

@sgermanserrano found the root of the problem. We’ll have a fix soon for those.",amc-nu,14467.0,416.0,5,88,0,15,219
Feature/melodic rebase again,2019-05-22T23:50:12Z,447387358,495015723.0,comment,"@amc-nu Do you know which problem he found a fix to? I've found fixes for problems with Qt, ocoros, and others.

Edit: this PR also fixes the problem with OGRE.",JWhitleyWork,14467.0,416.0,5,88,0,15,219
Feature/melodic rebase again,2019-05-22T23:53:38Z,447387358,495016389.0,reply,Seems it’s just the Gitlab CI script that needs to be updated. (Industrial_CI is passing without any problem on both kinetic and melodic),amc-nu,14467.0,416.0,5,88,0,15,219
Feature/melodic rebase again,2019-05-22T23:58:42Z,447387358,495017319.0,comment,"I was building the Docker container from source when I found the problems on the cross-build
Guess we'll see what happens when this PR gets merged! ",JWhitleyWork,14467.0,416.0,5,88,0,15,219
Fix segmentation fault at velocity_set or unintended planning by asynchronous base_waypoints and closest_waypoint,2019-05-21T09:00:40Z,446498953,,,,kfunaoka,,,0,2,0,1,2
CUDA CMake detection logic update,2019-05-22T11:55:34Z,446364570,494771106.0,reply,A downside that I've seen to including this in the cmake extras file as just an option is that it produces warnings on packages which do not use CUDA. Maybe we should make this a macro instead so it is only checked when invoked specifically with something like check_cuda()?,JWhitleyWork,285635.0,127785.0,2,60,0,13,91
CUDA CMake detection logic update,2019-05-24T02:51:53Z,446364570,495453763.0,comment,@JWhitleyAStuff can you have a look?,amc-nu,285635.0,127785.0,2,60,0,13,91
Update Docker cross-build Image,2019-05-20T19:09:32Z,446260882,494113867.0,comment,@sgermanserrano - The PR we discussed on Slack. This will fix some problems with the `melodic` builds too.,JWhitleyWork,155148.0,907.0,6,6,0,7,124
