issues_title,issues_created_at,issues_thread_id,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
"Runtime Manager Quick Start tab, fix launch_kill proc for Rviz",2015-12-28T07:49:43Z,124031354,,,,kondoh2,,,0,1,0,1,9
"Runtime Manager Quick Start tab, fix rviz/cmd.sh",2015-12-28T02:05:55Z,124007263,,,,kondoh2,,,0,1,0,1,6
Support setting nice value,2015-12-27T07:03:46Z,123958065,167390376,answered,"Great, thanks!
2015/12/27 12:36 ""Syohei YOSHIDA"" notifications@github.com:

> Merged #187 https://github.com/CPFL/Autoware/pull/187.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/CPFL/Autoware/pull/187#event-500835586.
",shinpei0208,646.0,13075.0,1,3,0,3,72
"Runtime Manager Quick Start tab, Rviz remote",2015-12-25T08:57:35Z,123866133,,,,kondoh2,,,0,2,0,3,68
Improve handling junction lane,2015-12-25T04:31:42Z,123851869,,,,syouji,,,0,1,0,1,4
Update AutowareRoute,2015-12-24T11:25:23Z,123793481,,,,syouji,,,0,1,0,1,0
Don't use absolute path,2015-12-24T10:21:34Z,123786670,,,,syohex,,,0,1,0,4,14
Implement process manager,2015-12-24T10:17:20Z,123770192,167084648,questioned,"NOTE: You need to input password when you execute `ros/run` script.

今後 `ros/run`を実行する際にパスワードを入力する必要があります.
問題がありましたらお知らせください.
",syohex,10112.0,10191.0,1,2,0,3,193
Update ndt matching,2015-12-24T07:26:59Z,123770148,,,,kitsukawa,,,0,2,0,3,203
Apply bashrc pull requests,2015-12-23T06:54:05Z,123610651,,,,syohex,,,0,4,0,2,32
Develop waypoint loader,2015-12-22T08:21:05Z,123437125,,,,h-ohta,,,0,2,0,1,48
Fix waypoint maker,2015-12-22T07:18:35Z,123429609,,,,h-ohta,,,0,2,0,3,6
Parse old CSV format,2015-12-22T05:39:09Z,123415320,166515218,questioned,"@h-ohta 現状公開している waypoint_loader用の CSVファイルは、yaw角のカラムを含まないため、ロードすると SEGV が発生しておりました。一時的な対応になるかもしれませんが、古いフォーマットも読めるように修正いたしました。
",syouji,261.0,584.0,2,1,0,1,69
Parse old CSV format,2015-12-22T07:05:01Z,123415320,166534490,answered,"@syouji 動作確認が出来ました。実装もこれで問題ないと思います。お手数おかけして申し訳ありませんでした。ありがとうございました。
",h-ohta,261.0,584.0,2,1,0,1,69
Avoid forced termination,2015-12-18T12:47:46Z,122943072,,,,TomohitoAndo,,,0,1,0,1,7
Add udon_socket package,2015-12-18T11:19:42Z,122930546,,,,syouji,,,0,1,0,6,701
Fix lane planner,2015-12-18T10:43:18Z,122925248,,,,h-ohta,,,0,2,0,2,24
Mod tlr,2015-12-18T08:10:28Z,122901982,165710482,questioned,"Please notify me if problems happen by this PR
",manato,52.0,46.0,1,2,0,3,23
Make the run command more agnostic to different terminals,2015-12-23T07:12:49Z,122746609,166818390,answered,"Thanks for PR. I have merged your commit at #180.
",syohex,491668.0,491668.0,1,1,0,1,31
Some suggested hardware requirements,2015-12-23T07:12:25Z,122719848,166818237,answered,"Thanks for PR. I have merged your commit at #180.
",syohex,501957.0,501957.0,1,1,0,1,3
More complete demo install instructions,2015-12-24T10:32:43Z,122718514,167087356,answered,"Thanks for suggestion. I have merged your change partially.
",syohex,600951.0,600951.0,1,1,0,1,23
Fix wf simulator,2015-12-17T10:03:45Z,122701719,,,,h-ohta,,,0,3,0,2,173
Fix visualization for simulation mode,2015-12-17T10:03:33Z,122701686,,,,TomohitoAndo,,,0,1,0,1,10
Develop multi lane,2015-12-17T08:08:01Z,122683839,,,,h-ohta,,,0,17,0,21,3565
Communicate by key value data format,2015-12-17T07:51:59Z,122681659,,,,syouji,,,0,2,0,4,217
Synchronize button view with vehicle information,2015-12-17T07:35:24Z,122679610,,,,syouji,,,0,1,0,3,198
Define meter color,2015-12-17T07:04:35Z,122675086,,,,syouji,,,0,1,0,4,68
Develop velocity set,2015-12-17T06:03:31Z,122667361,,,,TomohitoAndo,,,0,7,0,4,747
Accelerate euclidean cluster,2015-12-11T04:06:12Z,121633648,,,,h-ohta,,,0,3,0,3,105
"Runtime Manager, add Autoware logo, update Icon",2015-12-10T09:56:27Z,121445769,,,,kondoh2,,,0,1,0,6,28
Fix get closest waypoint,2015-12-09T10:06:36Z,121201128,,,,h-ohta,,,0,2,0,1,24
ndt_matching supports setup tab.,2015-12-08T15:45:27Z,121034792,,,,kitsukawa,,,0,1,0,3,50
Velocity set dev,2015-12-08T06:33:29Z,120943196,,,,TomohitoAndo,,,0,3,0,4,94
"Runtime Manager Setup tab, fix about Vehicle Model path",2015-12-08T05:27:03Z,120933830,,,,kondoh2,,,0,1,0,3,10
"Runtime Manager Setup tab, fix PCD Binarizer path",2015-12-08T05:13:08Z,120912288,162768705,questioned,"コミットメッセージが間違っていました。
本対応は Setupタブ Vehicle Model path についての修正で、
Mapタブ PCD Binarizer の設定とは関係ありません。
",kondoh2,7.0,12072.0,1,1,0,1,3
"Runtime Manager Setup tab, add Setup tab",2015-12-07T03:58:53Z,120693536,,,,kondoh2,,,0,1,0,4,270
Ndt matching mod tf tree,2015-12-04T10:26:21Z,120373479,,,,kitsukawa,,,0,4,0,3,96
"Runtime Manger Computing tab, add sched policy GUI",2015-12-04T09:29:48Z,120363693,161919060,answered,"**NOTE: rootで Runtime Managerを起動しないと機能しません**

@kondoh2 対応有難うございました.
",syohex,24.0,148.0,1,1,0,2,44
