issues_title,issues_created_at,issues_thread_id,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
colcon warning when using development docker for 'velodyne_msgs' ,2023-11-06T04:28:48Z,1978264601,,,,felixf4xu,,,0,0,0,0,0
ci(dependabot): update the bot labels,2023-11-03T13:04:50Z,1976170838,,,,xmfcx,,,0,2,0,1,4
ci(sync-files): update the bot labels,2023-11-02T18:15:21Z,1974811154,,,,xmfcx,,,0,2,0,1,4
build: update to CUDA 12.3,2023-11-02T14:26:06Z,1974366604,1790838962,questioned,"Back to draft, I hadn't realized the TensorRT packages are in a separate Ansible script",esteve,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-02T14:29:49Z,1974366604,1790845747,questioned,@xmfcx this is ready for review now.,esteve,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-02T15:38:51Z,1974366604,1790977588,answered,"I will try to test it tomorrow, thank you for your efforts!",xmfcx,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-02T15:42:27Z,1974366604,1790984196,questioned,"@xmfcx thanks for the prompt review. I've incorporated your feedback and pushed a new commit. I'm runnning this locally, though I won't be able to fully test it, just make sure that it can be built.",esteve,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-02T15:59:45Z,1974366604,1791016498,answered,"It seems there is:
- https://github.com/autowarefoundation/autoware/blob/main/arm64.env
file too which contains a single line comment:
```
# Override amd64's settings
```

We might need to override the TensorRT version.

I've checked that [`sbsa` repository](https://developer.download.nvidia.com/compute/cuda/repos/ubuntu2204/sbsa/) contains:
- `libcudnn8-dev_8.9.5.29-1+cuda12.2` (same as in the [`x86_64` repository](https://developer.download.nvidia.com/compute/cuda/repos/ubuntu2204/x86_64/))

But it doesn't contain:
- `tensorrt-dev_8.6.1.6-1+cuda12.0`

Instead, it contains:
- `tensorrt-dev_8.6.2.2-1+cuda12.0`

So, we might need to add:
- `tensorrt_version=8.6.2.2-1+cuda12.0`
to the [arm64.env](https://github.com/autowarefoundation/autoware/blob/main/arm64.env) file.

Also we need to check where in the code it does the overriding.",xmfcx,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-02T16:03:35Z,1974366604,1791023539,questioned,@xmfcx do we need the packages from the `sbsa` repository? `8.6.1.6-1+cuda12.0` is in the `x86_64` repository.,esteve,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-02T16:05:00Z,1974366604,1791026126,questioned,"> @xmfcx do we need the packages from the `sbsa` repository? `8.6.1.6-1+cuda12.0` is in the `x86_64` repository.

Just to reply my own question, I think we do need the packages from `sbsa` for ARM-based non-Jetson platforms.",esteve,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-02T16:06:47Z,1974366604,1791029399,answered,"Yes, it is referenced in https://github.com/autowarefoundation/autoware/blob/main/ansible/roles/cuda/tasks/main.yaml#L6",xmfcx,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-03T14:32:00Z,1974366604,1792542534,questioned,"@xmfcx I'm building this branch on an ARM virtual machine, so far it seems to be using the correct version of TensorRT for ARM (8.6.2.2-1+cuda12.0)",esteve,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-03T14:58:24Z,1974366604,1792596408,questioned,"Spoke too soon, the `cuda-nvprof-12-3` package doesn't seem to be available for ARM, only `cuda-nvprof-11-7`",esteve,,328.0,11,6,0,4,54
build: update to CUDA 12.3,2023-11-06T13:57:01Z,1974366604,1794881713,questioned,"@xmfcx I've built Autoware in an ARM VM and CUDA gets detected and the perception packages are built, I assume the result is correct.",esteve,,328.0,11,6,0,4,54
Update github organization labels,2023-11-03T14:54:46Z,1974203768,1792590619,questioned,"I think it worked quite well for the [Universe repository](https://github.com/autowarefoundation/autoware.universe/labels) :)

![1](https://github.com/autowarefoundation/autoware/assets/10751153/f9fd5537-fef7-4e35-9add-1b5208ba007e)
![2](https://github.com/autowarefoundation/autoware/assets/10751153/4b57f387-c723-44b9-b245-6dc977c7698a)
",xmfcx,,93092.0,1,0,0,0,0
colcon build error for autoware_auto_tf2,2023-10-30T23:56:01Z,1969397666,1786224619,answered,"Thanks for the report.

It is probably the same problem as below.

https://github.com/orgs/autowarefoundation/discussions/3877

I hope this information helps you.",SakodaShintaro,6593.0,408.0,2,0,0,0,0
colcon build error for autoware_auto_tf2,2023-10-31T01:39:06Z,1969397666,1786301039,questioned,"yes, updating to latest git version fixed my problem.",felixf4xu,6593.0,408.0,2,0,0,0,0
Upgrade to CUDA 12,2023-10-30T16:25:55Z,1968757861,1785581891,questioned,"I followed:
- https://docs.nvidia.com/cuda/cuda-installation-guide-linux/index.html#network-repo-installation-for-ubuntu

```bash
cd /tmp

wget https://developer.download.nvidia.com/compute/cuda/repos/ubuntu2204/x86_64/cuda-keyring_1.1-1_all.deb

sudo dpkg -i cuda-keyring_1.1-1_all.deb

sudo apt update

sudo apt install cuda tensorrt-dev libcudnn8-dev
```
to install latest CUDA on my machine and I was able to compile Autoware without errors.

I will test some of the packages (starting from the ones required for AWSIM testing) and report my findings.

```console
$ nvcc -V
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2023 NVIDIA Corporation
Built on Fri_Sep__8_19:17:24_PDT_2023
Cuda compilation tools, release 12.3, V12.3.52
Build cuda_12.3.r12.3/compiler.33281558_0
```
Following `dpkg -l | grep cuDNN` and `dpkg -l | grep TensorRT`, some relevant package versions:
```
libcudnn8                                         8.9.5.29-1+cuda12.2                     amd64
libcudnn8-dev                                     8.9.5.29-1+cuda12.2                     amd64
libnvinfer-dev                                    8.6.1.6-1+cuda12.0                      amd64
libnvinfer8                                       8.6.1.6-1+cuda12.0                      amd64
tensorrt-dev                                      8.6.1.6-1+cuda12.0                      amd64
```",xmfcx,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-10-30T16:58:44Z,1968757861,1785665290,questioned,"![Screenshot from 2023-10-30 19-52-32](https://github.com/autowarefoundation/autoware/assets/10751153/ad2e6ac3-38f0-487e-8a60-cc50f3729e2c)

It works!

centerpoint and traffic_light_classifier works.",xmfcx,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-10-30T17:01:07Z,1968757861,1785669825,questioned,@mitsudome-r do you think we should also test this in ARM or can we start upgrading the Ansible scripts right away?,xmfcx,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-10-31T15:13:59Z,1968757861,1787424059,questioned,"@oguzkaganozt have you tested Autoware on AVA developer kit?
If so, could you test it on it too?
It's not urgent, we can use CI to test if it builds and just update the ansible scripts too.",xmfcx,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-10-31T15:20:53Z,1968757861,1787438240,answered,"@xmfcx I'm targeting CUDA 12 for the Debian packages, the process for installing the previous version was a bit clunky and hopefully by the time Autoware works with CUDA 12, the old steps will be obsolete.",esteve,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-11-02T12:22:04Z,1968757861,1790628146,answered,"> @oguzkaganozt have you tested Autoware on AVA developer kit? If so, could you test it on it too? It's not urgent, we can use CI to test if it builds and just update the ansible scripts too.

I have tested Autoware on AVA and it works. I think this update should also work on it too. But give me some time to validate.",oguzkaganozt,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-11-02T14:22:54Z,1968757861,1790833390,answered,"@xmfcx I've updated the Ansible scripts for CUDA in #3956 , I don't have a GPU powerful enough to test it, though.",esteve,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-11-06T14:04:29Z,1968757861,1794895765,answered,"I've updated the ticket with the list of packages that depend on CUDA, I'd appreciate if someone can test #3956 with a GPU on x86_64 and ARM, thanks.",esteve,,272.0,9,0,0,0,0
Upgrade to CUDA 12,2023-11-09T11:23:57Z,1968757861,1803649173,answered,"I have tested on both arm64(AADP-AVA) and amd64 platforms using rosbag replay simulator with GeForce RTX 3070. It is working fine, I didn't notice any difference between older versions of CUDA and TensorRT.


![1](https://github.com/autowarefoundation/autoware/assets/21222428/3f38d338-360c-46c9-9dce-c4b4682433af)
![2](https://github.com/autowarefoundation/autoware/assets/21222428/57d0316a-85e5-46c4-ab0f-f4f247f07144)
![3](https://github.com/autowarefoundation/autoware/assets/21222428/8eded676-e44e-41a7-9b51-a758e7f84c99)

",oguzkaganozt,,272.0,9,0,0,0,0
rosdep install error for nebula_sensor_driver & pacmod3_msgs ,2023-11-01T04:45:04Z,1967885145,1788401054,questioned,"pacmod3 is fixed by manually install it by instructions at autoware/ansible/roles/pacmod/README.md (my ansible never works)


nebula_sensor_driver issue is moved to https://github.com/autowarefoundation/sample_sensor_kit_launch/issues/80",felixf4xu,156266.0,156266.0,1,0,0,0,0
Added DBW Bridge to new Branch,2023-10-25T17:32:40Z,1961907397,,,,DeeKayG,,,0,1,0,4,254
Remove $ signs from artifacts/README.md,2023-10-24T09:06:35Z,1958822336,,,,david-vay,,,0,1,0,1,64
feat(ansible): tvm artifacts download,2023-10-18T15:53:31Z,1950082660,,,,lexavtanke,,,0,5,0,3,164
chore(.clang-tidy): adds bugprone-unchecked-optional-access check,2023-10-18T07:34:54Z,1949060535,,,,zulfaqar-azmi-t4,,,0,1,0,1,1
Develop avinash,2023-10-10T02:34:58Z,1934182238,1754229411,questioned,test,AvinashRamashray,28.0,28.0,1,15,0,15,129
Developer avinash,2023-10-07T14:08:34Z,1931365936,1751722154,questioned,just done for testing,AvinashRamashray,19.0,19.0,1,2,0,2,2
Create testfile.txt,2023-10-07T13:49:16Z,1931359629,,,,AvinashRamashray,,,0,1,0,1,1
fix: update all downloaded files with their SHA256 checksum (2),2023-09-26T10:44:00Z,1913223026,1735284896,questioned,@lexavtanke could you review this PR again? I closed #3856 by mistake. Thanks.,esteve,13668.0,124.0,2,1,0,1,32
